NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
LSM3,LSM3,null,null,0.07645676
CHCHD7,CHCHD7,null,null,0.076270595
MGME1,MGME1,null,null,0.07615452
SMDT1,SMDT1,null,null,0.07605651
LRRC23,LRRC23,null,null,0.07601652
PIK3R3,PIK3R3,null,null,0.075982325
PPIA,PPIA,null,null,0.07591598
TMEM242,TMEM242,null,null,0.07585447
RBM3,RBM3,null,null,0.07573134
OXSM,OXSM,null,null,0.07559396
MED10,MED10,null,null,0.07553588
GTF2H5,GTF2H5,null,null,0.07518637
CASD1,CASD1,null,null,0.07509775
DPM3,DPM3,null,null,0.07505096
VAMP3,VAMP3,null,null,0.07501338
KBTBD6,KBTBD6,null,null,0.07471083
AL358075.4,AL358075.4,null,null,0.07453852
COA1,COA1,null,null,0.07409871
PRICKLE3,PRICKLE3,null,null,0.074008524
ALPK1,ALPK1,null,null,0.07387894
EFCAB7,EFCAB7,null,null,0.07386846
PRR3,PRR3,null,null,0.07380027
TTC39C,TTC39C,null,null,0.07374596
FBXL3,FBXL3,null,null,0.073743895
TMEM258,TMEM258,null,null,0.07372672
POGLUT1,POGLUT1,null,null,0.073637836
TPMT,TPMT,null,null,0.0735112
TRMU,TRMU,null,null,0.073230475
UBE2V2,UBE2V2,null,null,0.07313714
MESD,MESD,null,null,0.07305826
GOSR1,GOSR1,null,null,0.07289409
MRPL54,MRPL54,null,null,0.07280122
RPS21,RPS21,null,null,0.07278751
ZNF776,ZNF776,null,null,0.07276944
MAGOH,MAGOH,null,null,0.07258371
TNFRSF21,TNFRSF21,null,null,0.07254282
RNF219,RNF219,null,null,0.072504535
PGGT1B,PGGT1B,null,null,0.072416164
NAA38,NAA38,null,null,0.07216743
SLC35F5,SLC35F5,null,null,0.07211241
CENPK,CENPK,null,null,0.07198865
CHCHD5,CHCHD5,null,null,0.07194896
SWI5,SWI5,null,null,0.07188105
UQCC2,UQCC2,null,null,0.07173119
C5orf24,C5orf24,null,null,0.07167726
HIF1AN,HIF1AN,null,null,0.0716292
PSMC6,PSMC6,null,null,0.07154764
IFRD1,IFRD1,null,null,0.07148222
ID3,ID3,null,null,0.071299925
MAN1A2,MAN1A2,null,null,0.071038686
SPC25,SPC25,null,null,0.071020484
MAP4K3,MAP4K3,null,null,0.07090339
COX5B,COX5B,null,null,0.070894055
FAM13B,FAM13B,null,null,0.07082973
NKAPD1,NKAPD1,null,null,0.070744224
MYCBP,MYCBP,null,null,0.07071901
RELCH,RELCH,null,null,0.07070899
HNRNPA1,HNRNPA1,null,null,0.070518374
CETN2,CETN2,null,null,0.07029769
ERH,ERH,null,null,0.0702425
POLE4,POLE4,null,null,0.07010946
RASA2,RASA2,null,null,0.069997996
MAP1A,MAP1A,null,null,0.06986177
RNF141,RNF141,null,null,0.0698361
HIST1H4C,HIST1H4C,null,null,0.069721386
NPAT,NPAT,null,null,0.06968299
ATP5MF,ATP5MF,null,null,0.0696397
ZHX1-C8orf76,ZHX1-C8orf76,null,null,0.0694825
ZNF766,ZNF766,null,null,0.06941597
RMI1,RMI1,null,null,0.06939531
PSMD10,PSMD10,null,null,0.069303006
MTF1,MTF1,null,null,0.06926955
HIRIP3,HIRIP3,null,null,0.06918633
RBIS,RBIS,null,null,0.06918391
LYPLAL1,LYPLAL1,null,null,0.06909876
SMNDC1,SMNDC1,null,null,0.068813674
RTN4IP1,RTN4IP1,null,null,0.068588786
C8orf76,C8orf76,null,null,0.068569236
TRMT10A,TRMT10A,null,null,0.06838707
ZNF830,ZNF830,null,null,0.06836601
LSM6,LSM6,null,null,0.068333305
MTPAP,MTPAP,null,null,0.06824414
POLG2,POLG2,null,null,0.06821955
WARS2,WARS2,null,null,0.06816458
MYL6,MYL6,null,null,0.06813085
SGO2,SGO2,null,null,0.06801365
RPP30,RPP30,null,null,0.06798315
HELLS,HELLS,null,null,0.06797143
DNTTIP2,DNTTIP2,null,null,0.067969374
HSPE1-MOB4,HSPE1-MOB4,null,null,0.067928076
GPATCH2,GPATCH2,null,null,0.067879856
SMCR8,SMCR8,null,null,0.067867525
POLR3K,POLR3K,null,null,0.06754238
NT5C3A,NT5C3A,null,null,0.067237586
POP5,POP5,null,null,0.067236826
CCDC58,CCDC58,null,null,0.06697283
NREP,NREP,null,null,0.0668952
PHTF1,PHTF1,null,null,0.06689478
RRP15,RRP15,null,null,0.06682527
PITPNB,PITPNB,null,null,0.06681772
MED4,MED4,null,null,0.066470556
INTS7,INTS7,null,null,0.066450946
DYNLRB1,DYNLRB1,null,null,0.06643659
NIPSNAP3A,NIPSNAP3A,null,null,0.066408575
LDHA,LDHA,null,null,0.06638968
DPY30,DPY30,null,null,0.066231936
SUPT4H1,SUPT4H1,null,null,0.06618136
ARL3,ARL3,null,null,0.06615585
HAUS2,HAUS2,null,null,0.066054426
NOL11,NOL11,null,null,0.06590787
C22orf39,C22orf39,null,null,0.065772004
GOLPH3L,GOLPH3L,null,null,0.06574393
C1orf131,C1orf131,null,null,0.065738216
FSBP,FSBP,null,null,0.06569946
MYSM1,MYSM1,null,null,0.06567275
STXBP3,STXBP3,null,null,0.065543585
CLK1,CLK1,null,null,0.06520258
CENPS,CENPS,null,null,0.06517979
DENND4C,DENND4C,null,null,0.06517066
ZNF33A,ZNF33A,null,null,0.06506309
NEDD8,NEDD8,null,null,0.06496991
ZNF121,ZNF121,null,null,0.06484785
DDIAS,DDIAS,null,null,0.06469369
CASP3,CASP3,null,null,0.064582326
GBE1,GBE1,null,null,0.06446197
TARDBP,TARDBP,null,null,0.06445074
TMEM33,TMEM33,null,null,0.06442075
FNDC3B,FNDC3B,null,null,0.06436863
ZNF35,ZNF35,null,null,0.064322405
HPRT1,HPRT1,null,null,0.06428105
ADAL,ADAL,null,null,0.06428083
CHURC1,CHURC1,null,null,0.06425613
PIGU,PIGU,null,null,0.06423728
PIBF1,PIBF1,null,null,0.0642195
UNC119B,UNC119B,null,null,0.0641522
CSTB,CSTB,null,null,0.064145036
DMAC1,DMAC1,null,null,0.06378632
ANAPC10,ANAPC10,null,null,0.063780814
MRPS33,MRPS33,null,null,0.06372683
NOC3L,NOC3L,null,null,0.063674614
C12orf4,C12orf4,null,null,0.06365246
C17orf97,C17orf97,null,null,0.06360943
UGDH,UGDH,null,null,0.06359105
HINT1,HINT1,null,null,0.06350338
RAD51C,RAD51C,null,null,0.063370794
LAMTOR5,LAMTOR5,null,null,0.063283645
POLR1C,POLR1C,null,null,0.063249715
RAB3A,RAB3A,null,null,0.0631986
CYCS,CYCS,null,null,0.063188314
