Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,U2932_WT_centered,U2932_MUT_centered,U2932_WT_1,U2932_WT_2,U2932_WT_3,U2932_MUT_1,U2932_MUT_2,U2932_MUT_3
A8K4M4,A8K4M4,NA,1.453291750407865e-4,2.55e-6,-0.382,TRUE,Down,-0.191,0.191,6.797012977836145,6.825276830054866,6.870364719583405,6.422905742612183,6.422905742612183,6.499845887083206
LBR,A0A024R3R5,NA,1.6019872583351223e-4,4.1e-6,-0.696,TRUE,Down,-0.348,0.348,12.35730456999812,12.394114304934321,12.25685734257971,11.79197682089869,11.470862199413702,11.656380169430571
METTL7A,H0YI09,NA,1.607917276847991e-4,4.17e-6,-0.551,TRUE,Down,-0.276,0.276,9.264442600226602,9.091435386323607,9.275193333902207,8.631540867341485,8.600656307826302,8.74550626586916
LEMD3,Q9Y2U8,23592,1.7728123069405026e-4,6.57e-6,-0.56,TRUE,Down,-0.28,0.28,10.047669251391314,9.979710990705009,10.101187815259738,9.608439652551588,9.369597346278677,9.471472003596457
FNDC3A,Q9Y2H6,22862,1.8328563565326463e-4,7.6e-6,-0.571,TRUE,Down,-0.286,0.286,8.862327400517986,8.94192792470872,9.065550770955017,8.447909748742077,8.27658971572526,8.432124272641563
ACP2,P11117,53,1.9048531619030726e-4,8.92e-6,-0.449,TRUE,Down,-0.225,0.225,6.878970510151082,6.989820220117596,7.058532970201611,6.496654082593496,6.523561956057013,6.559185865787734
TMEM214,Q6NUQ4,54867,1.9602405799663434e-4,1e-5,-0.542,TRUE,Down,-0.271,0.271,10.365119467164158,10.317638723794467,10.36697783572535,9.875595783370425,9.659460801229844,9.888134388352869
DDX3Y,O15523,8653,1.9629993263127165e-4,1.01e-5,0.499,TRUE,Up,0.25,-0.25,13.615549178500176,13.591674275021917,13.612972135453571,14.205793249397157,14.13229889507109,13.979809219790356
SIGMAR1,Q99720,10280,2.0010648897983703e-4,1.08e-5,-0.486,TRUE,Down,-0.243,0.243,6.736063627871814,6.692092375427572,6.765534746362977,6.129283016944966,6.336283387864432,6.2686589550276715
JUND,P17535,3727,2.0096681714849266e-4,1.1e-5,-0.481,TRUE,Down,-0.24,0.24,7.714932351785683,7.741466986401147,7.622783966156123,7.109569509370688,7.280770770130602,7.246027980528104
SPCS2,A0A087WUC6,9789,2.0639435491837e-4,1.23e-5,-0.526,TRUE,Down,-0.263,0.263,11.15949295804451,11.188403397408244,11.32755264408124,10.73961186364278,10.594791118089265,10.761551232444479
LUZP1,A0A024RAC0,NA,2.2013349794571435e-4,1.64e-5,-0.396,TRUE,Down,-0.198,0.198,8.55765515472542,8.460251098943846,8.508190930557152,8.174426393677253,8.109569509370688,8.053654417603145
RRM2B,Q7LG56,50484,2.515401403028545e-4,2.88e-5,0.451,TRUE,Up,0.225,-0.225,9.382840144475237,9.296686825363441,9.310839959841383,9.679128179747416,9.798795783820449,9.865423978313133
ADAM10,O14672,102,2.5246662217205754e-4,2.92e-5,-0.336,TRUE,Down,-0.168,0.168,8.15532422905059,8.112700132749362,8.185371029235403,7.816343705284859,7.84924870276441,7.778734244117836
