"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"ACBD7","Q8N6N7",0.174445207286724,0.817,FALSE,0.326,0.163,-0.163
"ACD","Q96AP0",0.366279547930585,0.888,FALSE,0.0886,0.0443,-0.0443
"ACIN1","E7EQT4",0.220054199676324,0.844,FALSE,0.0751,0.0375,-0.0375
"ACLY","Q4LE36",0.159241432091746,0.806,FALSE,0.0795,0.0397,-0.0397
"ACLY.1","P53396-2",0.160969835159457,0.807,FALSE,0.0898,0.0449,-0.0449
"ACO1","P21399",0.46545774936578,0.904,FALSE,0.0959,0.0479,-0.0479
"ACO2","Q99798",0.0415083747310923,0.529,FALSE,0.194,0.097,-0.097
"ACOT1","A1L172",0.139678625190688,0.788,FALSE,-0.078,-0.039,0.039
"ACOT13","Q9NPJ3",0.305529346246124,0.874,FALSE,-0.0817,-0.0409,0.0409
"ACOT2","A0A087X0W7",0.18689465651486,0.825,FALSE,-0.0736,-0.0368,0.0368
"ACOT7","O00154",0.0705798964329819,0.663,FALSE,0.268,0.134,-0.134
"ACOT8","O14734",0.492080872045869,0.908,FALSE,-0.0675,-0.0338,0.0338
"ACOT9","Q9Y305-4",0.638276393249715,0.922,FALSE,-0.0397,-0.0198,0.0198
"ACOX1","A0A024R8L7",0.464587830137994,0.904,FALSE,0.0722,0.0361,-0.0361
"ACP1","P24666-2",0.905032678252477,0.938,FALSE,-0.0102,-0.00509,0.00509
"ACP6","X5D289",0.10746391919099,0.746,FALSE,-0.143,-0.0716,0.0716
"ACPP","P15309-2",0.680048288606639,0.925,FALSE,0.154,0.0772,-0.0772
"ACSF2","Q96CM8-2",0.0607312680687139,0.629,FALSE,-0.152,-0.076,0.076
"ACSF3","Q4G176",0.609591316017894,0.92,FALSE,0.046,0.023,-0.023
"ACSL4","O60488",0.865518969632538,0.936,FALSE,0.0228,0.0114,-0.0114
"ACSL5","Q9ULC5-3",0.259993929077555,0.86,FALSE,-0.138,-0.0692,0.0692
"ACSS1","Q9NUB1",0.536863681775611,0.913,FALSE,0.0589,0.0295,-0.0295
"ACT","Q562M3",0.440678114575754,0.901,FALSE,0.045,0.0225,-0.0225
"ACT.1","Q562L9",0.317265898857192,0.877,FALSE,0.0614,0.0307,-0.0307
"ACT.2","Q562V5",0.47882499156163,0.906,FALSE,0.0482,0.0241,-0.0241
"ACT.3","Q562X7",0.411331167845966,0.896,FALSE,0.0581,0.0291,-0.0291
"ACT.4","Q562Q6",0.0860581000215149,0.705,FALSE,-0.0949,-0.0475,0.0475
"ACT.5","Q562W2",0.0681962760723332,0.656,FALSE,-0.108,-0.0538,0.0538
"ACTA2","Q13707",0.408192873031856,0.896,FALSE,0.0439,0.022,-0.022
"ACTB","P60709",0.451039065637444,0.902,FALSE,0.0375,0.0187,-0.0187
"ACTBL2","Q562R1",0.747333362115592,0.93,FALSE,0.0177,0.00886,-0.00886
"ACTC1","P68032",0.601597618553634,0.919,FALSE,0.0261,0.0131,-0.0131
"ACTL6A","O96019",0.746422298963464,0.93,FALSE,0.0307,0.0154,-0.0154
"ACTN4","O43707",0.711481598727973,0.927,FALSE,0.0421,0.021,-0.021
"ACTN4.1","K7EJH8",0.429467549008709,0.899,FALSE,0.0778,0.0389,-0.0389
