"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"BCL11A","Q9H165",0.191647485573902,0.828,FALSE,-0.105,-0.0523,0.0523
"BCL2L1","Q07817",0.704248941950673,0.927,FALSE,-0.0254,-0.0127,0.0127
"BCL2L11","O43521",0.237060187845828,0.851,FALSE,-0.0674,-0.0337,0.0337
"BCL2L12","Q9HB09",0.738197574576001,0.929,FALSE,-0.0538,-0.0269,0.0269
"BCL2L13","A0A087WX97",0.152426939041949,0.8,FALSE,0.162,0.0809,-0.0809
"BCL3","P20749",0.116468022699043,0.76,FALSE,0.113,0.0564,-0.0564
"BCL6","A5PL18",0.0119834577458433,0.185,FALSE,0.175,0.0874,-0.0874
"BCL7A","Q4VC05-2",0.604413031656903,0.919,FALSE,-0.0539,-0.027,0.027
"BCL7B","F2Z3H6",0.076300372683885,0.68,FALSE,-0.123,-0.0615,0.0615
"BCL9","O00512",0.0198126064554275,0.309,FALSE,-0.16,-0.08,0.08
"BCLAF1","Q9NYF8",0.546761631979019,0.914,FALSE,-0.0342,-0.0171,0.0171
"BCLAF1.1","E9PK91",0.837094709534774,0.935,FALSE,-0.0111,-0.00553,0.00553
"BCR","P11274",0.199951957050014,0.833,FALSE,-0.121,-0.0606,0.0606
"BCR/ABL","A9UF02",0.232168762648909,0.849,FALSE,-0.106,-0.0531,0.0531
"BDH1","Q02338",0.154783711407555,0.802,FALSE,-0.111,-0.0554,0.0554
"BECN1","Q14457",0.19680396356117,0.831,FALSE,0.0779,0.0389,-0.0389
"BEND3","Q5T5X7",0.510199583540427,0.91,FALSE,0.0464,0.0232,-0.0232
"BET1L","B8ZZS0",0.185451860390191,0.825,FALSE,-0.113,-0.0565,0.0565
"BICD1","Q96G01",0.370578050773414,0.889,FALSE,0.087,0.0435,-0.0435
"BICD2","Q8TD16-2",0.997752254721328,0.942,FALSE,-0.000345,-0.000173,0.000173
"BIK","Q13323",0.0128158104366431,0.2,FALSE,-0.376,-0.188,0.188
"BIN3","D3DSR7",0.997678972617668,0.942,FALSE,0.000323,0.000162,-0.000162
"BIRC5","H3BLT4",0.708336126711127,0.927,FALSE,0.0406,0.0203,-0.0203
"BIRC6","Q9NR09",0.220730711085795,0.844,FALSE,-0.069,-0.0345,0.0345
"BLK","Q05D26",0.953573197329045,0.941,FALSE,-0.00546,-0.00273,0.00273
"BLMH","Q13867",0.0128920666511236,0.201,FALSE,0.178,0.0891,-0.0891
"BLOC1S1","P78537",0.526848180685226,0.912,FALSE,0.0298,0.0149,-0.0149
"BLOC1S2","Q6QNY1",0.807955553187771,0.933,FALSE,0.0334,0.0167,-0.0167
"BLOC1S3","Q6QNY0",0.238679282578162,0.852,FALSE,-0.0674,-0.0337,0.0337
"BLOC1S4","Q9NUP1",0.876777564532646,0.937,FALSE,-0.0105,-0.00527,0.00527
"BLOC1S5","Q8TDH9",0.558941390893663,0.915,FALSE,0.0286,0.0143,-0.0143
"BLOC1S6","H3BST1",0.171140778463104,0.815,FALSE,-0.145,-0.0726,0.0726
"BLVRB","P30043",0.133159220520729,0.781,FALSE,-0.163,-0.0813,0.0813
"BMP2K","Q9NSY1",0.0563646469842468,0.61,FALSE,-0.207,-0.104,0.104
"BMS1","Q14692",0.823320400739691,0.934,FALSE,0.0139,0.00694,-0.00694
"BNIP2","J3KN59",0.226115137735511,0.846,FALSE,-0.127,-0.0636,0.0636
"BOD1L1","Q8NFC6",0.33358015423439,0.881,FALSE,-0.0529,-0.0265,0.0265
"BOLA1","Q9Y3E2",0.00815986907446862,0.119,FALSE,-0.209,-0.105,0.105
"BOLA2","A0A087WZT3",0.0180598774595233,0.282,FALSE,-0.275,-0.137,0.137
"BOP","Q7L3V2",0.136437287826115,0.784,FALSE,0.12,0.0602,-0.0602
"BOP1","A8K3R2",0.0485586810412177,0.572,FALSE,0.131,0.0653,-0.0653
"BORCS6","Q96GS4",0.0484290456214022,0.571,FALSE,-0.136,-0.0678,0.0678
"BORCS7-ASMT","A0A0B4J1R7",0.687721950905386,0.926,FALSE,0.0426,0.0213,-0.0213
"BPGM","P07738",0.679886210981639,0.925,FALSE,0.0224,0.0112,-0.0112
"BPHL","Q86WA6",0.614348771536335,0.92,FALSE,-0.0491,-0.0245,0.0245
"BPNT1","O95861",0.269760903377226,0.863,FALSE,0.0531,0.0266,-0.0266
"BPTF","Q12830",0.590888907035683,0.918,FALSE,-0.0342,-0.0171,0.0171
"BRAF","P15056",0.6396756008574,0.922,FALSE,-0.0599,-0.03,0.03
"BRAT1","Q6PJG6",0.574414452198936,0.917,FALSE,-0.0799,-0.0399,0.0399
"BRCA1","P38398-7",0.72043586404295,0.928,FALSE,0.0232,0.0116,-0.0116
"BRCC3","P46736",0.0689502441476074,0.658,FALSE,0.111,0.0555,-0.0555
"BRD1","O95696-2",0.342041806493763,0.883,FALSE,-0.0765,-0.0382,0.0382
"BRD2","A0A0G2JK44",0.53892490537128,0.913,FALSE,0.0433,0.0217,-0.0217
"BRD4","O60885",0.878638897743066,0.937,FALSE,-0.016,-0.00798,0.00798
"BRD7","Q9NPI1",0.195815658457414,0.831,FALSE,0.075,0.0375,-0.0375
"BRD8","H7C127",0.998583300797049,0.942,FALSE,0.000107,5.37e-05,-5.37e-05
"BRD9","Q9H8M2",0.30450722593575,0.874,FALSE,-0.0944,-0.0472,0.0472
"BRE","Q9NXR7-1",0.39151538091096,0.893,FALSE,0.0655,0.0328,-0.0328
"BRF1","Q92994",0.806068316580713,0.933,FALSE,0.0207,0.0104,-0.0104
"BRIX1","Q8TDN6",0.34032708595448,0.883,FALSE,-0.0615,-0.0308,0.0308
"BRK1","Q8WUW1-2",0.240946442231192,0.853,FALSE,0.091,0.0455,-0.0455
"BROX","Q5VW32",0.406247823160761,0.895,FALSE,0.0568,0.0284,-0.0284
"BRPF1","P55201-2",0.0748046930858529,0.676,FALSE,-0.122,-0.0611,0.0611
"BSDC1","Q9NW68",0.741507558208639,0.929,FALSE,0.025,0.0125,-0.0125
"BSG","P35613",0.346719911821958,0.884,FALSE,-0.149,-0.0744,0.0744
"BTAF1","A0A0A0MTH9",0.879932652316047,0.937,FALSE,-0.0292,-0.0146,0.0146
"BTBD2","Q9BX70",0.0122994817407181,0.191,FALSE,-0.385,-0.192,0.192
"BTF3","P20290",0.925184406665712,0.939,FALSE,0.00726,0.00363,-0.00363
"BTF3.1","P20290-2",0.877471054807017,0.937,FALSE,0.0129,0.00647,-0.00647
"BTF3L4","Q96K17",0.958642670757409,0.941,FALSE,-0.00824,-0.00412,0.00412
"BTK","Q06187-2",0.57027022178143,0.916,FALSE,0.0274,0.0137,-0.0137
"BUB1B","O60566-3",0.513377517526059,0.91,FALSE,0.0609,0.0304,-0.0304
"BUB3","O43684",0.685114715953894,0.926,FALSE,0.0247,0.0124,-0.0124
"BUD31","P41223",0.936294624665637,0.94,FALSE,0.00414,0.00207,-0.00207
"BYSL","Q13895",0.0196909650874564,0.307,FALSE,0.167,0.0836,-0.0836
"BZW1","Q7L1Q6-3",0.00104722928703512,0.00304,FALSE,0.239,0.119,-0.119
"C0LQF2","C0LQF2",0.316988140127137,0.877,FALSE,-0.0649,-0.0324,0.0324
"C10orf118","Q496Y1",0.210788866361328,0.839,FALSE,0.17,0.0848,-0.0848
"C10orf4","D3DR40",0.782433051785148,0.932,FALSE,-0.0473,-0.0237,0.0237
"C11orf48","L0R588",0.10401510454529,0.741,FALSE,-0.141,-0.0705,0.0705
"C11orf57","Q6ZUT1-2",0.529103776558502,0.912,FALSE,-0.041,-0.0205,0.0205
"C11orf68","Q9H3H3-3",0.99198585253343,0.942,FALSE,0.000903,0.000451,-0.000451
"C12orf10","Q86UA3",0.779306316873449,0.932,FALSE,0.0143,0.00713,-0.00713
"C12orf29","Q8N999",0.409713098525999,0.896,FALSE,0.0785,0.0393,-0.0393
"C12orf43","F5H7W8",0.769779095589109,0.931,FALSE,-0.0335,-0.0168,0.0168
"C12orf45","A0A087WT30",0.0738561842640013,0.673,FALSE,0.137,0.0683,-0.0683
"C12orf57","Q99622",0.243040818866371,0.854,FALSE,-0.135,-0.0675,0.0675
"C12orf73","Q69YU5",0.838482527625109,0.935,FALSE,-0.0139,-0.00693,0.00693
"C14orf142","Q9BXV9",0.21471170512888,0.841,FALSE,-0.0711,-0.0355,0.0355
"C14orf159","Q4LE40",0.375013397032175,0.89,FALSE,-0.0709,-0.0354,0.0354
"C14orf166","Q9Y224",0.9094789752326,0.939,FALSE,-0.00498,-0.00249,0.00249
"C14orf2","G3V556",0.146786308929026,0.795,FALSE,0.415,0.207,-0.207
"C14orf80","Q86SX3",0.361854302985553,0.887,FALSE,0.0916,0.0458,-0.0458
"C15orf24","A0A024R9K7",0.0091047048070251,0.136,FALSE,-0.298,-0.149,0.149
"C15orf40","Q8WUR7",0.775467134896823,0.932,FALSE,-0.0252,-0.0126,0.0126
"C15orf57","Q9BV29-2",0.700894104331594,0.927,FALSE,-0.0242,-0.0121,0.0121
"C15orf58","A1L185",0.189672412976418,0.827,FALSE,0.197,0.0985,-0.0985
"C16orf13","Q96S19",0.0836147056502294,0.699,FALSE,-0.156,-0.0782,0.0782
"C16orf58","Q96GQ5",0.935819895114801,0.94,FALSE,0.00471,0.00236,-0.00236
"C16orf62","E7EWW0",0.142781201664199,0.791,FALSE,-0.436,-0.218,0.218
"C16orf72","A0A087X1J2",0.564921057710588,0.916,FALSE,-0.0445,-0.0223,0.0223
"C17orf75","J9JIC5",0.181919652213605,0.822,FALSE,-0.0788,-0.0394,0.0394
"C17orf80","A0A024R8P4",0.446114278271174,0.902,FALSE,0.0427,0.0214,-0.0214
"C18orf21","Q8TBS0",0.956035945666693,0.941,FALSE,-0.00848,-0.00424,0.00424
"C18orf25","Q96B23-2",0.478229506321944,0.906,FALSE,0.0385,0.0193,-0.0193
"C18orf8","Q96DM3",0.506648602603929,0.909,FALSE,0.0432,0.0216,-0.0216
"C19orf25","Q9UFG5-2",0.499449544127803,0.909,FALSE,-0.0552,-0.0276,0.0276
"C19orf43","Q9BQ61",0.226077767245102,0.846,FALSE,-0.0982,-0.0491,0.0491
"C19orf47","Q8N9M1",0.0234670512021151,0.359,FALSE,-0.16,-0.0798,0.0798
"C19orf53","Q9UNZ5",0.0542162792170966,0.6,FALSE,-0.343,-0.172,0.172
"C19orf70","A0A140TA86",0.931039301219637,0.94,FALSE,-0.00586,-0.00293,0.00293
"C1orf112","Q9NSG2",0.0660532196883602,0.648,FALSE,0.167,0.0835,-0.0835
"C1orf122","Q6ZSJ8",0.989816665830053,0.942,FALSE,0.00714,0.00357,-0.00357
"C1orf123","Q9NWV4",0.325861041892771,0.879,FALSE,-0.0684,-0.0342,0.0342
"C1orf131","Q8NDD1",0.434484646954777,0.9,FALSE,-0.0515,-0.0258,0.0258
"C1orf174","Q8IYL3",0.0397489384081981,0.516,FALSE,0.315,0.157,-0.157
"C1orf198","Q9H425",0.938073301876883,0.94,FALSE,0.00671,0.00336,-0.00336
"C1orf50","Q9BV19",0.689885737890559,0.926,FALSE,-0.0382,-0.0191,0.0191
"C1orf52","Q8N6N3",0.00173374845462308,0.0102,FALSE,0.277,0.139,-0.139
"C1QBP","Q07021",0.382344858630442,0.891,FALSE,0.0409,0.0204,-0.0204
"C21orf2","O43822",0.534655806805542,0.913,FALSE,-0.106,-0.0532,0.0532
"C2CD2L","O14523-2",0.0973887721528215,0.729,FALSE,-0.198,-0.0991,0.0991
"C2CD5","Q86YS7-4",0.467748871717377,0.905,FALSE,-0.108,-0.0538,0.0538
"C2orf47","Q8WWC4",0.615373953069847,0.92,FALSE,-0.0256,-0.0128,0.0128
"C2orf49","Q9BVC5",0.0273730815388528,0.405,FALSE,0.851,0.426,-0.426
"C2orf69","Q8N8R5",0.832274632051576,0.935,FALSE,-0.0151,-0.00756,0.00756
"C2orf76","Q3KRA6",0.499097792537944,0.909,FALSE,0.0783,0.0392,-0.0392
"C3","P01024",0.647933822000854,0.923,FALSE,0.041,0.0205,-0.0205
"C3orf58","Q8NDZ4",0.445236217056129,0.902,FALSE,-0.0496,-0.0248,0.0248
"C3orf63","A0A024R363",0.0253015373683692,0.382,FALSE,-0.136,-0.0679,0.0679
"C4A","A0A0G2JPR0",0.376004517323986,0.89,FALSE,0.131,0.0654,-0.0654
"C4orf32","Q8N8J7",0.0296197508476868,0.429,FALSE,-0.191,-0.0956,0.0956
"C5orf22","Q49AR2",0.925605007049355,0.939,FALSE,-0.0068,-0.0034,0.0034
"C5orf51","A6NDU8",0.612485326306971,0.92,FALSE,-0.0257,-0.0128,0.0128
"C6orf136","Q5SQH8-4",0.103767867121175,0.74,FALSE,0.253,0.127,-0.127
"C6orf139","A0A024RD28",0.624761295712688,0.921,FALSE,-0.056,-0.028,0.028
"C6orf57","I6L976",0.0352742186576167,0.482,FALSE,-0.273,-0.137,0.137
"C7orf25","B4DQM3",0.787786010246573,0.932,FALSE,0.0169,0.00844,-0.00844
"C7orf50","Q9BRJ6",0.941030817041165,0.94,FALSE,0.00516,0.00258,-0.00258
"C7orf55","Q96HJ9",0.728971168707252,0.929,FALSE,0.026,0.013,-0.013
"C8orf33","Q9H7E9-2",0.729624849224312,0.929,FALSE,0.0268,0.0134,-0.0134
"C8orf59","Q8N0T1",0.22013219902509,0.844,FALSE,-0.393,-0.196,0.196
"C8orf82","H0YF29",0.962203719703702,0.941,FALSE,0.00382,0.00191,-0.00191
"C9orf114","Q5T280",0.908206329625506,0.938,FALSE,0.00816,0.00408,-0.00408
"C9orf142","Q9BUH6",0.111103514990162,0.752,FALSE,0.299,0.149,-0.149
"C9orf40","Q8IXQ3",0.115765924524848,0.759,FALSE,-0.092,-0.046,0.046
"C9orf64","Q5T6V5",0.0255869611379029,0.385,FALSE,-0.306,-0.153,0.153
"C9orf78","Q9NZ63",0.214418267770697,0.841,FALSE,0.081,0.0405,-0.0405
"CA8","P35219",0.116808273891884,0.76,FALSE,0.102,0.0508,-0.0508
"CAAP1","Q9H8G2",0.450610769818667,0.902,FALSE,-0.053,-0.0265,0.0265
"CAB39L","Q9H9S4",0.912901789759346,0.939,FALSE,0.0221,0.011,-0.011
"CABIN1","Q9Y6J0",0.298773417737705,0.872,FALSE,-0.054,-0.027,0.027
"CACTIN","Q8WUQ7-2",0.21590211046942,0.842,FALSE,0.0776,0.0388,-0.0388
"CACYBP","Q9HB71",0.921378337091187,0.939,FALSE,-0.00531,-0.00266,0.00266
"CAD","P27708",0.800363745990334,0.933,FALSE,0.0164,0.00819,-0.00819
"CADM1","Q9BY67-3",0.893844476591046,0.938,FALSE,0.0161,0.00804,-0.00804
"CALCOCO1","Q9P1Z2",0.775295573548511,0.932,FALSE,-0.0179,-0.00893,0.00893
"CALCOCO2","Q13137-4",0.198302596461714,0.832,FALSE,0.1,0.0501,-0.0501
"CALM1","G3V479",0.0357494932172862,0.485,FALSE,0.181,0.0907,-0.0907
"CALM2","E7EMB3",0.233106343240033,0.849,FALSE,0.0874,0.0437,-0.0437
"CALR","P27797",0.0474929767589423,0.566,FALSE,0.137,0.0684,-0.0684
"CALU","O43852-3",0.188040562990066,0.826,FALSE,-0.0932,-0.0466,0.0466
"CALU.1","O43852-4",0.184255260797432,0.824,FALSE,-0.0839,-0.0419,0.0419
"CAMK1D","Q8IU85",0.493650037545167,0.908,FALSE,-0.0759,-0.0379,0.0379
"CAMK2B","Q13554",0.551594600234926,0.914,FALSE,0.0554,0.0277,-0.0277
"CAMK2D","E9PBG7",0.115398187331188,0.758,FALSE,0.0961,0.048,-0.048
"CAMK2G","Q13555-6",0.601712494051901,0.919,FALSE,0.0463,0.0231,-0.0231
"CAMKMT","Q7Z624",0.946832938173066,0.94,FALSE,0.0099,0.00495,-0.00495
"CAMSAP1","Q5T5Y3-3",0.91114558843593,0.939,FALSE,-0.0103,-0.00514,0.00514
"CAMSAP3","Q9P1Y5-2",0.885058620515561,0.937,FALSE,-0.0113,-0.00567,0.00567
"CAND2","O75155",0.343674096764092,0.883,FALSE,-0.0464,-0.0232,0.0232
"CANT1","Q8WVQ1",0.82915577960367,0.935,FALSE,-0.017,-0.00849,0.00849
"CAP1","D3DPU2",0.224554422593529,0.846,FALSE,0.0937,0.0468,-0.0468
"CAPN1","P07384",0.594349530176464,0.918,FALSE,0.0256,0.0128,-0.0128
"CAPN15","O75808",0.00403910444845724,0.0455,FALSE,-0.252,-0.126,0.126
"CAPNS1","A0A0C4DGQ5",0.617441014875089,0.92,FALSE,0.0315,0.0158,-0.0158
"CAPRIN1","Q14444",0.110128322617908,0.75,FALSE,0.135,0.0675,-0.0675
"CAPZA1","P52907",0.786939432974332,0.932,FALSE,0.0195,0.00974,-0.00974
"CAPZA2","P47755",0.518504614939794,0.911,FALSE,-0.0458,-0.0229,0.0229
"CAPZB","B1AK88",0.73515214426473,0.929,FALSE,-0.0294,-0.0147,0.0147
"CARD16","Q5EG05",0.476612224603791,0.906,FALSE,-0.0572,-0.0286,0.0286
"CARD19","Q96LW7",0.958352428030855,0.941,FALSE,-0.00457,-0.00229,0.00229
"CARD8","Q9Y2G2-5",0.955813346616742,0.941,FALSE,-0.00475,-0.00238,0.00238
"CARHSP1","Q9Y2V2",0.0857071406814788,0.704,FALSE,-0.141,-0.0704,0.0704
"CARM1","Q86X55",0.476231202285291,0.906,FALSE,0.0315,0.0157,-0.0157
"CARMIL1","Q5VZK9",0.0214832917600254,0.332,FALSE,-0.177,-0.0883,0.0883
"CARMIL2","Q6F5E8",0.801611007345919,0.933,FALSE,0.0136,0.00679,-0.00679
"CARNMT1","Q8N4J0",0.146897172707887,0.795,FALSE,0.113,0.0563,-0.0563
"CARS","P49589-3",0.400122756904051,0.894,FALSE,-0.0429,-0.0215,0.0215
"CARS2","Q9HA77",0.65467380881235,0.923,FALSE,-0.0256,-0.0128,0.0128
"CASC3","A0A024R1X0",0.04541225146342,0.554,FALSE,0.137,0.0684,-0.0684
"CASC5","Q8NG31",0.180349154495649,0.821,FALSE,-0.0719,-0.036,0.036
"CASK","O14936",0.357215303919726,0.886,FALSE,-0.0848,-0.0424,0.0424
"CASP2","P42575",0.844893624695014,0.935,FALSE,-0.00916,-0.00458,0.00458
"CASP3","P42574",0.0714552437810225,0.666,FALSE,0.188,0.0938,-0.0938
"CASP6","P55212",0.678803381701471,0.925,FALSE,0.0453,0.0226,-0.0226
"CASP7","A0A0A0MRL7",0.879640171236404,0.937,FALSE,-0.026,-0.013,0.013
"CASP8","Q14790-9",0.387288186878802,0.892,FALSE,0.213,0.106,-0.106
"CAT","P04040",0.246092707763981,0.855,FALSE,0.116,0.0578,-0.0578
"CBFB","Q13951",0.979860492463859,0.942,FALSE,-0.00128,-0.000639,0.000639
"CBL","P22681",0.346914067972559,0.884,FALSE,-0.127,-0.0633,0.0633
"CBLL1","Q75N03",0.0535483430515329,0.597,FALSE,0.235,0.117,-0.117
"CBR1","P16152",0.0882136408894279,0.71,FALSE,-0.236,-0.118,0.118
"CBR4","Q8N4T8",0.0582624219596539,0.618,FALSE,-0.205,-0.102,0.102
"CBS","P35520-2",0.163930961561534,0.809,FALSE,-0.229,-0.115,0.115
"CBWD1","Q9BRT8",0.807109006286863,0.933,FALSE,-0.0159,-0.00793,0.00793
"CBWD2","Q8IUF1",0.877600596986596,0.937,FALSE,0.0083,0.00415,-0.00415
"CBX1","P83916",0.830064815657974,0.935,FALSE,-0.0119,-0.00596,0.00596
"CBX3","Q13185",0.477526966383738,0.906,FALSE,-0.0366,-0.0183,0.0183
"CBX4","O00257",0.115888717200761,0.759,FALSE,0.269,0.135,-0.135
"CBX5","P45973",0.0512053510947418,0.586,FALSE,-0.148,-0.0738,0.0738
"CBX8","Q9HC52",0.698570095919444,0.927,FALSE,-0.0285,-0.0142,0.0142
"CC2D1A","Q6P1N0",0.609601781922029,0.92,FALSE,-0.0716,-0.0358,0.0358
"CC2D1B","Q5T0F9",0.568895168337449,0.916,FALSE,-0.0616,-0.0308,0.0308
"CCAR1","Q8IX12",0.64146618853459,0.922,FALSE,-0.0426,-0.0213,0.0213
"CCAR2","Q8N163",0.188472733050953,0.826,FALSE,0.0614,0.0307,-0.0307
"CCBL1","B7Z4W5",0.00588305833790031,0.0771,FALSE,-0.304,-0.152,0.152
"CCDC106","Q9BWC9",0.462146100145099,0.904,FALSE,-0.0856,-0.0428,0.0428
"CCDC117","Q8IWD4",0.0117820500185582,0.182,FALSE,-0.33,-0.165,0.165
"CCDC12","J3KR35",0.339658159360863,0.883,FALSE,0.0642,0.0321,-0.0321
"CCDC124","Q96CT7",0.788039152236291,0.932,FALSE,0.0293,0.0147,-0.0147
"CCDC174","Q6PII3",0.316483159363428,0.877,FALSE,0.103,0.0515,-0.0515
"CCDC22","O60826",0.321796784968665,0.878,FALSE,-0.0655,-0.0328,0.0328
"CCDC25","Q86WR0",0.514362926798468,0.91,FALSE,0.0381,0.019,-0.019
"CCDC43","Q86WV7",0.579676544968392,0.917,FALSE,0.0394,0.0197,-0.0197
"CCDC47","Q96A33",0.00432631228234733,0.0503,FALSE,-0.246,-0.123,0.123
"CCDC51","Q96ER9",0.0641405840406655,0.642,FALSE,-0.112,-0.0559,0.0559
"CCDC53","Q9Y3C0",0.0586009232251314,0.62,FALSE,0.152,0.0762,-0.0762
"CCDC58","Q4VC31",0.933046608767367,0.94,FALSE,0.00873,0.00437,-0.00437
"CCDC6","A0A024QZJ7",0.902893615887544,0.938,FALSE,0.0257,0.0129,-0.0129
"CCDC61","Q9Y6R9",0.0837648359107838,0.7,FALSE,-0.137,-0.0687,0.0687
"CCDC71L","Q8N9Z2",0.172750919612537,0.816,FALSE,-0.0829,-0.0415,0.0415
"CCDC86","Q9H6F5",0.241901211521799,0.853,FALSE,0.0653,0.0327,-0.0327
"CCDC88A","Q3V6T2",0.507775873196762,0.91,FALSE,-0.0488,-0.0244,0.0244
"CCDC88B","A6NC98",0.865065853092171,0.936,FALSE,0.0112,0.00558,-0.00558
"CCDC88C","Q9P219",0.0739773026710391,0.674,FALSE,-0.126,-0.0631,0.0631
"CCDC9","Q9Y3X0",0.113124664451914,0.755,FALSE,-0.0862,-0.0431,0.0431
"CCDC91","Q7Z6B0",0.870197794122471,0.937,FALSE,0.0121,0.00607,-0.00607
"CCDC93","Q567U6",0.666895564912759,0.924,FALSE,-0.0243,-0.0122,0.0122
"CCDC94","Q9BW85",0.0853388936138984,0.703,FALSE,0.14,0.0701,-0.0701
"CCNA2","P20248",0.379000905374686,0.891,FALSE,-0.141,-0.0703,0.0703
"CCNB1","P14635",0.812776921176842,0.934,FALSE,0.0144,0.00721,-0.00721
"CCNB2","O95067",0.73062531404432,0.929,FALSE,0.0251,0.0125,-0.0125
"CCND3","P30281",0.114526420061363,0.757,FALSE,-1.1,-0.551,0.551
"CCNDBP1","O95273",0.0159594175988055,0.249,FALSE,-0.456,-0.228,0.228
"CCNH","P51946",0.683404909386896,0.926,FALSE,-0.0218,-0.0109,0.0109
"CCNK","O75909-4",0.225345029670543,0.846,FALSE,-0.0743,-0.0372,0.0372
"CCNL1","Q9UK58",0.122180203282469,0.767,FALSE,0.138,0.0688,-0.0688
"CCNT2","O60583",0.810289771471657,0.934,FALSE,0.024,0.012,-0.012
"CCNYL1","Q8N7R7",0.72153331236724,0.928,FALSE,-0.381,-0.191,0.191
"CCS","O14618",0.0846254444409307,0.702,FALSE,-0.164,-0.082,0.082
"CCSMST1","Q4G0I0",0.696977922723972,0.926,FALSE,0.0445,0.0223,-0.0223
"CCT2","P78371",0.193525602282345,0.83,FALSE,0.0896,0.0448,-0.0448
"CCT4","P50991",0.258869784054251,0.86,FALSE,0.0801,0.04,-0.04
"CCT5","P48643",0.403353383300943,0.895,FALSE,0.0452,0.0226,-0.0226
"CCT6A","P40227",0.491840997873187,0.908,FALSE,-0.0548,-0.0274,0.0274
"CCT7","Q99832",0.987285933490749,0.942,FALSE,0.00104,0.00052,-0.00052
"CCT8","P50990",0.980320701855827,0.942,FALSE,0.00233,0.00117,-0.00117
"CCZ1","P86791",0.570639714812015,0.916,FALSE,-0.0482,-0.0241,0.0241
"CD19","P15391-2",0.0408249905673422,0.524,FALSE,-0.477,-0.239,0.239
"CD22","P20273",0.451886277433154,0.902,FALSE,0.0754,0.0377,-0.0377
"CD2AP","Q9Y5K6",0.100304874257285,0.734,FALSE,-0.104,-0.0521,0.0521
"CD2BP2","O95400",0.241749322591454,0.853,FALSE,0.0745,0.0373,-0.0373
"CD37","P11049",0.505078643700285,0.909,FALSE,0.13,0.0648,-0.0648
"CD38","P28907",0.259358673972724,0.86,FALSE,-0.122,-0.0611,0.0611
"CD40","P25942",0.461903444573753,0.904,FALSE,-0.0886,-0.0443,0.0443
"CD44","P16070",0.0437993949951485,0.544,FALSE,-0.453,-0.226,0.226
"CD48","A0A087X1S7",0.386014317087718,0.892,FALSE,-0.108,-0.0542,0.0542
"CD53","P19397",0.218707196545767,0.843,FALSE,-0.544,-0.272,0.272
"CD59","E9PR17",0.354667368667012,0.886,FALSE,-0.0785,-0.0392,0.0392
"CD70","P32970",0.0144322317493869,0.226,FALSE,-0.319,-0.159,0.159
"CD72","A0A087X0Y7",0.069084077146688,0.659,FALSE,-0.191,-0.0953,0.0953
"CD74-Ntrk1","U6FVB0",0.41128353615343,0.896,FALSE,-0.0813,-0.0407,0.0407
"CD79A","P11912",0.38427393948402,0.892,FALSE,-0.0468,-0.0234,0.0234
"CD79B","P40259-3",0.453130168218976,0.903,FALSE,-0.0909,-0.0454,0.0454
"CD80","P33681",0.351648346502936,0.885,FALSE,-0.0649,-0.0324,0.0324
"CD81","A6NMH8",0.853011019325727,0.936,FALSE,-0.00907,-0.00453,0.00453
"CD84","Q9UIB8",0.764726573919073,0.931,FALSE,0.0219,0.0109,-0.0109
"CD9","G8JLH6",0.531739539870394,0.912,FALSE,0.0993,0.0497,-0.0497
"CD97","P48960",0.119316787158932,0.764,FALSE,-0.138,-0.069,0.069
"CD99L2","Q8TCZ2-5",0.132055013106811,0.779,FALSE,-0.16,-0.0802,0.0802
"CDAN1","Q8IWY9",0.145570628704562,0.793,FALSE,-0.115,-0.0577,0.0577
"CDC123","O75794",0.579962979628841,0.917,FALSE,0.0706,0.0353,-0.0353
"CDC16","Q13042",0.595404670492295,0.918,FALSE,0.0426,0.0213,-0.0213
"CDC2","A0A024QZP7",0.372459609062502,0.889,FALSE,0.131,0.0655,-0.0655
"CDC20","Q12834",0.132212789891266,0.78,FALSE,0.15,0.0748,-0.0748
"CDC23","Q9UJX2",0.053706182036471,0.598,FALSE,0.125,0.0623,-0.0623
"CDC26","Q8NHZ8",0.240352657615778,0.852,FALSE,0.0888,0.0444,-0.0444
"CDC27","P30260-2",0.301634431536903,0.873,FALSE,0.0555,0.0278,-0.0278
"CDC37","Q6FG59",0.883121924671469,0.937,FALSE,0.00908,0.00454,-0.00454
"CDC37.1","K7EL68",0.624457399616517,0.921,FALSE,-0.0406,-0.0203,0.0203
"CDC40","O60508",0.961546593342552,0.941,FALSE,0.00213,0.00107,-0.00107
"CDC42","P60953-1",0.0543669085790561,0.601,FALSE,-0.0997,-0.0498,0.0498
"CDC42SE2","Q9NRR3",0.181847964317458,0.822,FALSE,-0.0988,-0.0494,0.0494
"CDC45","O75419-3",0.835605769444885,0.935,FALSE,0.0215,0.0108,-0.0108
"CDC73","Q6P1J9",0.275342213412849,0.865,FALSE,0.0869,0.0435,-0.0435
"CDCA1","A0A024R8Y0",0.0827256576629729,0.697,FALSE,0.123,0.0613,-0.0613
"CDCA2","Q69YH5",0.908956857759378,0.939,FALSE,0.00582,0.00291,-0.00291
"CDCA5","B5MBX0",0.918452502517552,0.939,FALSE,0.0105,0.00526,-0.00526
"CDCA7","Q9BWT1-2",0.0211185894409016,0.327,FALSE,0.25,0.125,-0.125
