"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"ACP6","X5D289",0.0156151640735421,0.561,FALSE,-0.152,0.0762,-0.0762
"ACPP","P15309-2",0.126763201974666,0.861,FALSE,0.0713,-0.0357,0.0357
"ACSF2","Q96CM8-2",0.0246930629760508,0.667,FALSE,0.226,-0.113,0.113
"ACSF3","Q4G176",0.00923261507967961,0.407,FALSE,0.226,-0.113,0.113
"ACSL4","O60488",0.0270728092522293,0.685,FALSE,0.197,-0.0987,0.0987
"ACSS1","Q9NUB1",0.404143465260998,0.914,FALSE,-0.0473,0.0236,-0.0236
"ACSS2","Q9NR19-2",0.0171260205027389,0.585,FALSE,-0.225,0.112,-0.112
"ACT","Q562M3",0.596548937150624,0.926,FALSE,0.0204,-0.0102,0.0102
"ACT.1","Q562Q6",0.00552791219743424,0.284,FALSE,-0.227,0.113,-0.113
"ACT.2","Q562L9",0.183170520097304,0.882,FALSE,0.0567,-0.0283,0.0283
"ACT.3","Q562X7",0.0711077902676512,0.816,FALSE,-0.0878,0.0439,-0.0439
"ACT.4","Q562Z4",0.0263326675012435,0.68,FALSE,0.124,-0.0622,0.0622
"ACTA2","Q13707",0.0463839973855705,0.769,FALSE,0.106,-0.053,0.053
"ACTB","G8FSY7",0.0276066481569807,0.689,FALSE,0.138,-0.0691,0.0691
"ACTBL2","Q562R1",0.0182648492068095,0.601,FALSE,0.198,-0.099,0.099
"ACTC1","P68032",0.0264100220122134,0.68,FALSE,0.13,-0.0651,0.0651
"ACTG1","K7EM38",0.0276892285069162,0.689,FALSE,0.155,-0.0774,0.0774
"ACTG1.1","I3L4N8",0.0604154410364955,0.8,FALSE,0.0987,-0.0494,0.0494
"ACTL6A","O96019",0.395005814846204,0.913,FALSE,0.0389,-0.0194,0.0194
"ACTN4","O43707",0.0125196341887083,0.5,FALSE,0.153,-0.0765,0.0765
"ACTR1A","P61163",0.111194817854666,0.852,FALSE,0.0816,-0.0408,0.0408
"ACTR1B","P42025",0.276898276268786,0.9,FALSE,0.05,-0.025,0.025
"ACTR2","P61160",0.0964944601000376,0.842,FALSE,-0.0746,0.0373,-0.0373
"ACTR3","P61158",0.869012591168957,0.936,FALSE,0.00849,-0.00424,0.00424
"ACTR3B","Q9P1U1",0.12594901613221,0.86,FALSE,0.0773,-0.0386,0.0386
"ACTR5","Q9H9F9",0.368811299073084,0.911,FALSE,0.0368,-0.0184,0.0184
"ACTR6","Q9GZN1",0.52557867152783,0.922,FALSE,-0.0383,0.0191,-0.0191
"ACTR8","Q9H981",0.154883834052026,0.873,FALSE,-0.113,0.0564,-0.0564
"ACYP1","G3V2U7",0.0122379621406419,0.493,FALSE,0.436,-0.218,0.218
"ACYP2","P14621",0.261208748156529,0.898,FALSE,-0.0492,0.0246,-0.0246
"ADA","P00813",0.0154084723054451,0.558,FALSE,0.211,-0.106,0.106
"ADAL","Q6DHV7",0.267259839236166,0.899,FALSE,0.0584,-0.0292,0.0292
"ADAM10","O14672",0.632405398465816,0.927,FALSE,-0.0191,0.00957,-0.00957
"ADAR","P55265-3",0.34995309178788,0.909,FALSE,-0.0419,0.0209,-0.0209
"ADAT3","D6W601",0.635934012244495,0.928,FALSE,-0.0368,0.0184,-0.0184
"ADD1","P35611-3",0.247086184172239,0.895,FALSE,0.183,-0.0913,0.0913
"ADD3","Q9UEY8",0.946643308516309,0.938,FALSE,-0.00293,0.00146,-0.00146
"ADH5","P11766",0.0195676770387586,0.617,FALSE,0.182,-0.091,0.091
"ADI1","Q9BV57",0.00328799947136119,0.167,FALSE,0.246,-0.123,0.123
"ADK","P55263",0.0122768501128168,0.494,FALSE,0.145,-0.0723,0.0723
"ADPGK","Q9BRR6",0.473106384702383,0.919,FALSE,-0.0458,0.0229,-0.0229
"ADPRHL2","Q9NX46",0.995053452454051,0.94,FALSE,-0.000309,0.000154,-0.000154
"ADRM1","Q16186",0.722802799797224,0.931,FALSE,-0.0277,0.0138,-0.0138
"ADSL","P30566",0.200143654154721,0.886,FALSE,-0.0653,0.0327,-0.0327
"ADSS","P30520",0.246830505090715,0.895,FALSE,-0.117,0.0585,-0.0585
"AES","Q08117-2",0.347938021058345,0.909,FALSE,-0.0767,0.0384,-0.0384
"AFDN","J3KN01",0.243331412270891,0.895,FALSE,0.0483,-0.0242,0.0242
"AFF1","P51825-2",0.419606606743268,0.915,FALSE,-0.0335,0.0167,-0.0167
"AFF4","Q9UHB7",0.318745703785983,0.906,FALSE,-0.0522,0.0261,-0.0261
"AFP","J3KMX3",0.246559180368124,0.895,FALSE,-1.01,0.504,-0.504
"AFTPH","Q6ULP2",0.18699342500561,0.883,FALSE,0.1,-0.05,0.05
"AGA","P20933",0.671853282302223,0.929,FALSE,-0.0166,0.00829,-0.00829
"AGAP2","Q99490-2",0.934267265658769,0.938,FALSE,-0.00315,0.00157,-0.00157
"AGFG1","A0A0S2Z462",0.0730380022786532,0.819,FALSE,0.101,-0.0506,0.0506
"AGFG2","O95081",0.237146556907415,0.894,FALSE,0.0871,-0.0435,0.0435
"AGGF1","Q6PIK7",0.0319122669753546,0.714,FALSE,-0.116,0.0582,-0.0582
"AGK","Q53H12",0.00903905913886619,0.4,FALSE,0.227,-0.113,0.113
"AGL","P35573",0.400366095287595,0.914,FALSE,0.0377,-0.0188,0.0188
"AGMAT","Q9BSE5",0.15801979127966,0.874,FALSE,0.0672,-0.0336,0.0336
"AGO2","Q9UKV8",0.148864527943135,0.871,FALSE,0.0807,-0.0403,0.0403
"AGPAT3","Q9NRZ7-3",0.0536892841326684,0.787,FALSE,0.11,-0.0551,0.0551
"AGPAT5","Q9NUQ2",0.0745039280317037,0.82,FALSE,-0.0844,0.0422,-0.0422
"AGPAT5.1","H0YC22",0.436598310631979,0.916,FALSE,-0.0438,0.0219,-0.0219
"AGPS","O00116",0.0600473047997146,0.799,FALSE,-0.0937,0.0469,-0.0469
"AHCTF1","Q8WYP5-2",0.000945875315291097,0.0154,FALSE,0.317,-0.158,0.158
"AHCY","P23526",0.179380810283617,0.881,FALSE,-0.0622,0.0311,-0.0311
"AHCYL1","O43865",0.574465875305178,0.925,FALSE,-0.0384,0.0192,-0.0192
"AHR","P35869",0.0183502138465777,0.602,FALSE,-0.158,0.0791,-0.0791
"AHSA1","O95433",0.0609538214559824,0.801,FALSE,0.106,-0.053,0.053
"AIDA","Q96BJ3",0.0670381044792906,0.81,FALSE,0.115,-0.0574,0.0574
"AIFM1","O95831",0.668535683351825,0.929,FALSE,0.0234,-0.0117,0.0117
"AIM1","A0A0J9YWL0",0.36473142127739,0.91,FALSE,-0.0406,0.0203,-0.0203
"AIM2","O14862",0.892558606746361,0.937,FALSE,-0.0055,0.00275,-0.00275
"AIMP1","Q12904-2",0.132850317891788,0.864,FALSE,-0.0661,0.0331,-0.0331
"AIMP2","F8W950",0.00844596464965939,0.383,FALSE,-0.166,0.0831,-0.0831
"AIMP2.1","Q13155",0.0242945332027679,0.664,FALSE,-0.13,0.0652,-0.0652
"AIP","D0EKE5",0.106466101867675,0.849,FALSE,0.0871,-0.0436,0.0436
"AIP.1","D2CVN5",0.036767357474302,0.737,FALSE,0.111,-0.0556,0.0556
"AK2","P54819",0.157517116494175,0.874,FALSE,0.0827,-0.0414,0.0414
"AK3","Q7Z4Y4",0.0166188506634017,0.577,FALSE,0.178,-0.089,0.089
"AK6","Q9Y3D8",0.0711109859916332,0.816,FALSE,-0.286,0.143,-0.143
"AKAP11","Q9UKA4",0.0230110426866138,0.653,FALSE,0.178,-0.0889,0.0889
"AKAP13","Q12802-2",0.462399827927267,0.918,FALSE,-0.0372,0.0186,-0.0186
"AKAP17A","Q02040",0.235312918232697,0.893,FALSE,0.0499,-0.025,0.025
"AKAP8","O43823",0.0157727055433892,0.564,FALSE,0.238,-0.119,0.119
"AKAP8L","Q9ULX6",0.526499784937419,0.922,FALSE,0.0656,-0.0328,0.0328
"AKAP9","Q99996-6",0.275200040432529,0.9,FALSE,0.0818,-0.0409,0.0409
"AKNA","Q7Z591",0.792094012737372,0.934,FALSE,0.0104,-0.0052,0.0052
"AKR1A1","P14550",0.615667294440807,0.927,FALSE,-0.035,0.0175,-0.0175
"AKR1B1","P15121",0.160486732141938,0.875,FALSE,-0.102,0.051,-0.051
"AKR7A2","O43488",0.0503096695853114,0.779,FALSE,0.11,-0.0551,0.0551
"AKT1","P31749",0.175819034448826,0.88,FALSE,0.284,-0.142,0.142
"AKT1S1","Q96B36-3",0.0174100022189399,0.589,FALSE,-0.131,0.0654,-0.0654
"AKT2","P31751",0.457721254861549,0.918,FALSE,0.04,-0.02,0.02
"ALAD","P13716-2",0.515982140980568,0.922,FALSE,-0.0333,0.0167,-0.0167
"ALB","P02768",0.113357158963559,0.854,FALSE,-0.493,0.246,-0.246
"ALCAM","Q13740",0.143756557814921,0.868,FALSE,0.354,-0.177,0.177
"ALDH16A1","Q8IZ83",0.00806135307143578,0.372,FALSE,-0.174,0.0868,-0.0868
"ALDH18A1","P54886",0.11688202524688,0.856,FALSE,0.125,-0.0624,0.0624
"ALDH1B1","P30837",0.514420629134961,0.921,FALSE,-0.0658,0.0329,-0.0329
