"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"BECN1","Q14457",0.744797330602868,0.932,FALSE,0.0253,-0.0127,0.0127
"BET1","H7C1N3",0.341141087775615,0.908,FALSE,0.058,-0.029,0.029
"BICD1","Q96G01",0.317263534734586,0.905,FALSE,-0.056,0.028,-0.028
"BICD2","Q8TD16-2",0.097181278259884,0.842,FALSE,0.0834,-0.0417,0.0417
"BIRC3","Q13489",0.0284850891216973,0.694,FALSE,0.121,-0.0606,0.0606
"BIRC5","A0A0B4J1S3",0.0923070135677001,0.839,FALSE,-0.158,0.0791,-0.0791
"BIRC6","Q9NR09",0.593881937057553,0.926,FALSE,0.0203,-0.0102,0.0102
"BLK","P51451",0.00554066658976889,0.284,FALSE,-0.383,0.192,-0.192
"BLMH","Q13867",0.752649488849889,0.932,FALSE,-0.0211,0.0105,-0.0105
"BLNK","Q8WV28",0.313426276653596,0.905,FALSE,0.0667,-0.0334,0.0334
"BLOC1S1","P78537",0.372940473219257,0.911,FALSE,0.077,-0.0385,0.0385
"BLOC1S2","Q6QNY1",0.534890017082713,0.923,FALSE,0.0294,-0.0147,0.0147
"BLOC1S3","Q6QNY0",0.388004646392168,0.912,FALSE,0.0431,-0.0215,0.0215
"BLOC1S4","Q9NUP1",0.131209668698389,0.863,FALSE,0.0795,-0.0397,0.0397
"BLOC1S5","Q8TDH9",0.618815722158309,0.927,FALSE,-0.0202,0.0101,-0.0101
"BLVRB","P30043",0.137693742935349,0.866,FALSE,0.173,-0.0866,0.0866
"BMF","Q96LC9",0.460282348340342,0.918,FALSE,-0.0599,0.0299,-0.0299
"BMP2K","Q9NSY1",0.33618497223862,0.907,FALSE,-0.0547,0.0273,-0.0273
"BMS1","Q14692",0.450045350255267,0.917,FALSE,-0.0497,0.0248,-0.0248
"BNIP1","Q12981",0.155720737625292,0.873,FALSE,0.0627,-0.0313,0.0313
"BNIP3","Q6NVY4",0.00979232749929951,0.426,FALSE,0.209,-0.104,0.104
"BOD1L1","Q8NFC6",0.142756537192876,0.868,FALSE,-0.0982,0.0491,-0.0491
"BOLA2","A0A087WZT3",0.379577176002948,0.912,FALSE,-0.048,0.024,-0.024
"BOLA3","Q53S33",0.0417794399174477,0.755,FALSE,-0.247,0.123,-0.123
"BOP1","A8K3R2",0.00290916634325819,0.143,FALSE,-0.259,0.129,-0.129
"BORCS5","Q969J3",0.698067623626438,0.93,FALSE,0.0172,-0.00861,0.00861
"BORCS6","Q96GS4",0.615408997093878,0.927,FALSE,-0.0233,0.0116,-0.0116
"BORCS7-ASMT","A0A0B4J1R7",0.519998885121748,0.922,FALSE,-0.046,0.023,-0.023
"BORCS8","Q96FH0",0.0256830567826482,0.675,FALSE,-0.335,0.168,-0.168
"BORCS8-MEF2B","H3BNR1",0.0113829456170348,0.472,FALSE,-0.198,0.0991,-0.0991
"BPGM","P07738",0.659445764090059,0.929,FALSE,-0.0816,0.0408,-0.0408
"BPNT1","O95861",0.0187111896238137,0.607,FALSE,0.429,-0.214,0.214
"BPNT1.1","A6NF51",0.0193283315319624,0.614,FALSE,0.364,-0.182,0.182
"BPTF","Q12830",0.11859092020555,0.857,FALSE,0.0812,-0.0406,0.0406
"BRAF","P15056",0.00191270346143918,0.0734,FALSE,-0.279,0.139,-0.139
"BRAT1","Q6PJG6",0.0066786662949793,0.329,FALSE,-0.228,0.114,-0.114
"BRCA1","P38398-7",0.0433634285407479,0.76,FALSE,-0.156,0.0782,-0.0782
"BRCC3","P46736",0.542549162814142,0.923,FALSE,-0.0298,0.0149,-0.0149
"BRD2","A0A0G2JK44",0.0399144438902853,0.749,FALSE,-0.174,0.0871,-0.0871
"BRD3","Q15059",0.153048688589473,0.872,FALSE,-0.0605,0.0303,-0.0303
"BRD7","Q9NPI1-2",0.500128281383148,0.921,FALSE,-0.0632,0.0316,-0.0316
"BRD8","Q9H0E9",0.39984842125991,0.913,FALSE,0.157,-0.0785,0.0785
"BRE","Q9NXR7-1",0.00157059391172677,0.0515,FALSE,0.279,-0.14,0.14
"BRF1","Q92994",0.391622544618712,0.913,FALSE,-0.0517,0.0258,-0.0258
"BRIX1","Q8TDN6",0.0230060552042432,0.653,FALSE,-0.379,0.189,-0.189
"BRK1","Q8WUW1-2",0.789659861839017,0.934,FALSE,-0.0101,0.00503,-0.00503
"BRMS1","G5E9I4",0.853717171261448,0.936,FALSE,0.00811,-0.00405,0.00405
"BROX","Q5VW32",0.284908472948983,0.901,FALSE,-0.0931,0.0465,-0.0465
"BRPF1","P55201-2",0.43809789775049,0.916,FALSE,0.036,-0.018,0.018
"BRWD1","Q9NSI6",0.882544575404277,0.937,FALSE,-0.011,0.0055,-0.0055
"BSDC1","Q9NW68",0.548612564425047,0.923,FALSE,-0.0285,0.0143,-0.0143
"BSG","P35613",0.0132012384430593,0.515,FALSE,0.335,-0.167,0.167
"BTAF1","A0A0A0MTH9",0.0111870358165321,0.467,FALSE,-0.198,0.099,-0.099
"BTF3","P20290-2",0.0724226587280381,0.818,FALSE,-0.213,0.106,-0.106
"BTF3.1","P20290",0.11732337662928,0.856,FALSE,-0.113,0.0564,-0.0564
"BTF3L4","Q96K17",0.11175246849689,0.853,FALSE,0.0911,-0.0456,0.0456
"BTK","Q06187-2",0.101510268040649,0.846,FALSE,-0.121,0.0605,-0.0605
"BUB1B","O60566-3",0.0512254245629176,0.781,FALSE,-0.257,0.128,-0.128
"BUB3","O43684",0.0226087929971612,0.649,FALSE,-0.128,0.0641,-0.0641
"BUD31","P41223",0.0959858997690564,0.842,FALSE,-0.237,0.118,-0.118
"BYSL","Q13895",0.0969116403091469,0.842,FALSE,-0.115,0.0573,-0.0573
"BZW1","Q7L1Q6-3",0.94208282122365,0.938,FALSE,-0.00554,0.00277,-0.00277
"C0LQF2","C0LQF2",0.0394721066454795,0.747,FALSE,-0.191,0.0953,-0.0953
"C10orf76","Q5T2E6",0.0898503624803096,0.836,FALSE,-0.0924,0.0462,-0.0462
"C11orf48","L0R588",0.0271646438701155,0.686,FALSE,-0.279,0.139,-0.139
"C11orf57","Q6ZUT1-2",0.00319396888525882,0.162,FALSE,-0.224,0.112,-0.112
"C11orf68","Q9H3H3-3",0.781533946819575,0.933,FALSE,-0.0168,0.00838,-0.00838
"C12orf10","Q86UA3",0.0893535349023652,0.836,FALSE,-0.157,0.0783,-0.0783
"C12orf29","Q8N999",0.539524736897132,0.923,FALSE,0.0292,-0.0146,0.0146
"C12orf43","F5H7W8",0.431371832087321,0.916,FALSE,0.129,-0.0647,0.0647
"C12orf45","A0A087WT30",0.679972490102835,0.93,FALSE,0.0318,-0.0159,0.0159
"C12orf57","Q99622",0.505670627855368,0.921,FALSE,-0.0337,0.0169,-0.0169
"C12orf60","Q5U649",0.0770399631624165,0.823,FALSE,0.0914,-0.0457,0.0457
"C14orf1","Q9UKR5",0.404055490841987,0.914,FALSE,0.0525,-0.0263,0.0263
"C14orf142","Q9BXV9",0.0828985598368888,0.83,FALSE,-0.0866,0.0433,-0.0433
"C14orf159","Q4LE40",0.00364914813904951,0.188,FALSE,-0.199,0.0995,-0.0995
"C14orf2","G3V556",0.111536293396285,0.852,FALSE,0.126,-0.0632,0.0632
"C15orf24","A0A024R9K7",0.109008865452969,0.851,FALSE,-0.14,0.07,-0.07
"C15orf39","Q6ZRI6",0.583758624927332,0.925,FALSE,-0.0362,0.0181,-0.0181
"C15orf57","Q9BV29-2",0.0643874941655984,0.806,FALSE,-0.119,0.0595,-0.0595
"C16orf13","Q96S19",0.267464221907221,0.899,FALSE,0.0496,-0.0248,0.0248
"C16orf58","Q96GQ5",0.927623108577288,0.938,FALSE,0.00983,-0.00492,0.00492
"C16orf62","E7EWW0",0.101492868323446,0.846,FALSE,-0.109,0.0544,-0.0544
"C16orf70","Q9BSU1",0.354449187332863,0.909,FALSE,0.0534,-0.0267,0.0267
"C16orf86","Q6ZW13",0.250559137607806,0.896,FALSE,0.0562,-0.0281,0.0281
"C16orf87","Q6PH81",0.682895083556909,0.93,FALSE,0.0215,-0.0108,0.0108
"C17orf62","Q9BQA9",0.000850984469657625,0.0116,FALSE,0.307,-0.153,0.153
"C17orf75","J9JIC5",0.251731236897089,0.896,FALSE,-0.0498,0.0249,-0.0249
"C18orf25","Q96B23-2",0.128273510062749,0.862,FALSE,0.112,-0.056,0.056
"C18orf8","Q96DM3",0.674284952194276,0.929,FALSE,-0.0332,0.0166,-0.0166
"C19orf25","Q9UFG5-2",0.0442664606751418,0.763,FALSE,-0.143,0.0715,-0.0715
"C19orf43","Q9BQ61",0.18716263794003,0.883,FALSE,-0.12,0.0602,-0.0602
"C19orf47","Q8N9M1",0.817971042391394,0.935,FALSE,-0.016,0.00802,-0.00802
"C19orf53","Q9UNZ5",0.0247087777525823,0.667,FALSE,-0.263,0.131,-0.131
"C19orf70","A0A140TA86",0.241267741573012,0.894,FALSE,-0.0542,0.0271,-0.0271
"C1D","J3KPZ4",0.368787336317248,0.911,FALSE,-0.0409,0.0204,-0.0204
"C1orf122","Q6ZSJ8",0.0101818398351032,0.438,FALSE,-0.257,0.128,-0.128
"C1orf123","Q9NWV4",0.997418327551085,0.94,FALSE,-0.000192,9.59e-05,-9.59e-05
"C1orf131","Q8NDD1",0.41613399848634,0.915,FALSE,0.039,-0.0195,0.0195
"C1orf174","Q8IYL3",0.77445732080338,0.933,FALSE,0.0107,-0.00535,0.00535
"C1orf198","Q9H425",0.570468985635455,0.925,FALSE,0.023,-0.0115,0.0115
"C1orf52","Q8N6N3",0.3556269790038,0.909,FALSE,-0.047,0.0235,-0.0235
"C1QBP","Q07021",0.0352803022474736,0.73,FALSE,0.201,-0.1,0.1
"C20orf27","Q9GZN8-2",0.118621465132135,0.857,FALSE,0.0685,-0.0343,0.0343
"C2CD2L","O14523",0.834610888340667,0.935,FALSE,-0.0185,0.00927,-0.00927
"C2CD5","Q86YS7-4",0.569103267749315,0.924,FALSE,-0.0304,0.0152,-0.0152
"C2orf47","Q8WWC4",0.187997237011141,0.883,FALSE,0.146,-0.073,0.073
"C2orf49","Q9BVC5-2",0.335880161089162,0.907,FALSE,-0.0529,0.0264,-0.0264
"C2orf69","Q8N8R5",0.68319735312097,0.93,FALSE,0.0184,-0.00919,0.00919
"C2orf88","Q9BSF0",0.720780971024563,0.931,FALSE,0.0147,-0.00737,0.00737
"C3","P01024",0.0990436048712668,0.844,FALSE,-0.13,0.065,-0.065
"C3orf38","D3DU39",0.0632959387262097,0.805,FALSE,-0.154,0.0769,-0.0769
"C3orf38.1","Q5JPI3",0.198920195859395,0.886,FALSE,-0.0919,0.046,-0.046
"C3orf58","Q8NDZ4",0.580609317208001,0.925,FALSE,0.023,-0.0115,0.0115
"C4orf32","Q8N8J7",0.132269743713837,0.864,FALSE,-0.22,0.11,-0.11
"C5orf22","Q49AR2",0.0611858398833258,0.801,FALSE,-0.126,0.0628,-0.0628
"C5orf24","Q7Z6I8",0.127919584661158,0.861,FALSE,0.0661,-0.0331,0.0331
"C5orf51","A6NDU8",0.444567289181373,0.917,FALSE,0.0344,-0.0172,0.0172
"C6orf106","Q9H6K1",0.118595463548535,0.857,FALSE,-0.192,0.0962,-0.0962
"C6orf136","Q5SQH8-4",0.958546376401351,0.939,FALSE,-0.00208,0.00104,-0.00104
"C7orf25","B4DQM3",0.335120991006911,0.907,FALSE,-0.0538,0.0269,-0.0269
"C7orf26","Q96N11",0.940581629662466,0.938,FALSE,-0.0031,0.00155,-0.00155
"C7orf43","Q8WVR3",0.244642060248946,0.895,FALSE,-0.0571,0.0286,-0.0286
"C7orf50","Q9BRJ6",0.0114833805574995,0.474,FALSE,-0.25,0.125,-0.125
"C7orf55","Q96HJ9",0.132554325431977,0.864,FALSE,0.0653,-0.0327,0.0327
"C8orf33","Q9H7E9-2",0.0600004250818361,0.799,FALSE,0.261,-0.13,0.13
"C8orf82","Q6P1X6",0.573599239066099,0.925,FALSE,0.0231,-0.0115,0.0115
"C9orf114","Q5T280",0.220154675769799,0.89,FALSE,-0.176,0.0878,-0.0878
"C9orf142","Q9BUH6",0.0114740114061659,0.474,FALSE,-0.156,0.0782,-0.0782
"C9orf19","D3DRP5",0.307185447854057,0.904,FALSE,0.0494,-0.0247,0.0247
"C9orf40","Q8IXQ3",0.949976960465012,0.939,FALSE,0.00328,-0.00164,0.00164
"C9orf64","Q5T6V5",0.843894365214854,0.935,FALSE,-0.00925,0.00462,-0.00462
"C9orf78","Q9NZ63",0.127547022406601,0.861,FALSE,-0.144,0.0721,-0.0721
"CA8","P35219",0.0731222434967429,0.819,FALSE,0.138,-0.0689,0.0689
"CAAP1","Q9H8G2",0.925761009312342,0.938,FALSE,-0.00482,0.00241,-0.00241
"CAB39","Q9Y376",0.0138049409068217,0.528,FALSE,0.286,-0.143,0.143
"CABIN1","Q9Y6J0",0.0984131845041072,0.843,FALSE,0.0763,-0.0382,0.0382
"CACTIN","Q8WUQ7-2",0.0219541818849115,0.643,FALSE,-0.159,0.0795,-0.0795
"CACYBP","Q9HB71",0.0116356910508604,0.478,FALSE,0.227,-0.113,0.113
"CAD","P27708",0.130773974285031,0.863,FALSE,-0.0707,0.0353,-0.0353
"CADM1","Q9BY67-3",0.0529904547197167,0.785,FALSE,0.253,-0.127,0.127
"CALCOCO1","Q9P1Z2",0.0270398152594701,0.685,FALSE,-0.118,0.059,-0.059
"CALCOCO2","Q13137-4",0.997396614110634,0.94,FALSE,0.000121,-6.03e-05,6.03e-05
"CALM1","G3V479",0.00316887918673995,0.16,FALSE,0.332,-0.166,0.166
"CALM2","E7EMB3",0.0168154450714791,0.58,FALSE,0.16,-0.0798,0.0798
"CALR","P27797",0.923873221501295,0.938,FALSE,0.00455,-0.00228,0.00228
"CALU","O43852-4",0.88484936652234,0.937,FALSE,0.00654,-0.00327,0.00327
"CALU.1","O43852-3",0.525498823024986,0.922,FALSE,0.0284,-0.0142,0.0142
"CAMK2D","Q13557-8",0.0455898457033206,0.767,FALSE,0.178,-0.0892,0.0892
"CAMK2G","A0A0A0MS52",0.0287412537540612,0.696,FALSE,0.126,-0.0629,0.0629
"CAMK4","Q16566",0.0687496195092605,0.813,FALSE,-0.243,0.121,-0.121
"CAMKK2","Q96RR4",0.183986883156159,0.882,FALSE,0.39,-0.195,0.195
"CAMKMT","Q7Z624",0.712523388895191,0.931,FALSE,-0.0212,0.0106,-0.0106
"CAMSAP1","Q5T5Y3-3",0.0891129622360634,0.836,FALSE,0.407,-0.203,0.203
"CAMSAP3","Q9P1Y5-2",0.269861906477791,0.899,FALSE,-0.0772,0.0386,-0.0386
"CANX","P27824-2",0.915322599418272,0.938,FALSE,0.00691,-0.00345,0.00345
"CANX.1","D6RB85",0.31687608662658,0.905,FALSE,0.0519,-0.0259,0.0259
"CAP1","D3DPU2",0.243826041307082,0.895,FALSE,0.0514,-0.0257,0.0257
"CAP1.1","Q01518-2",0.292883495760365,0.902,FALSE,0.0462,-0.0231,0.0231
"CAPN1","P07384",0.137578930990766,0.866,FALSE,0.0807,-0.0403,0.0403
"CAPNS1","A0A0C4DGQ5",0.693764983191104,0.93,FALSE,0.0157,-0.00784,0.00784
"CAPRIN1","Q14444",0.192599710746291,0.884,FALSE,-0.272,0.136,-0.136
"CAPZA1","P52907",0.0635023936949423,0.805,FALSE,0.179,-0.0897,0.0897
"CAPZA2","P47755",0.303728956559812,0.904,FALSE,0.0612,-0.0306,0.0306
"CARD16","Q5EG05",0.0568777516111373,0.793,FALSE,-0.146,0.0731,-0.0731
"CARD19","Q96LW7-2",0.247546042133802,0.895,FALSE,0.0527,-0.0264,0.0264
"CARHSP1","Q9Y2V2",0.0385744364079511,0.744,FALSE,0.486,-0.243,0.243
"CARM1","Q86X55",0.242942700694365,0.895,FALSE,0.0555,-0.0277,0.0277
"CARMIL1","Q5VZK9",0.742647101083518,0.932,FALSE,-0.0157,0.00785,-0.00785
"CARMIL2","Q6F5E8",0.0163472948058296,0.573,FALSE,-0.133,0.0667,-0.0667
"CARS","P49589-3",0.884231150168274,0.937,FALSE,-0.0184,0.00922,-0.00922
"CARS2","Q9HA77",0.0713523162893098,0.816,FALSE,-0.111,0.0554,-0.0554
"CASC3","A0A024R1X0",0.612665660706452,0.927,FALSE,0.0214,-0.0107,0.0107
"CASC5","Q8NG31",0.131616076147716,0.863,FALSE,0.136,-0.0682,0.0682
"CASP2","P42575",0.0259013153789143,0.677,FALSE,-0.149,0.0745,-0.0745
"CASP3","P42574",0.398354832819654,0.913,FALSE,-0.0798,0.0399,-0.0399
"CASP4","P49662",0.551673998806281,0.924,FALSE,-0.058,0.029,-0.029
"CASP6","P55212",0.0445173611800117,0.764,FALSE,-0.217,0.108,-0.108
"CASP7","A0A0A0MRL7",0.178912130540369,0.88,FALSE,0.0557,-0.0279,0.0279
"CASP8","Q14790-9",0.183029539781406,0.882,FALSE,-0.0598,0.0299,-0.0299
"CASP8AP2","Q9UKL3",0.87196657979894,0.936,FALSE,0.00599,-0.00299,0.00299
"CAST","P20810-6",0.00881905806610889,0.393,FALSE,0.269,-0.134,0.134
"CAST.1","A0A024RAN2",0.0063529734482669,0.317,FALSE,0.266,-0.133,0.133
"CAT","P04040",0.0221221876044779,0.644,FALSE,0.146,-0.0729,0.0729
"CBFB","Q13951",0.14774258435285,0.87,FALSE,-0.0719,0.0359,-0.0359
"CBFB.1","Q13951-2",0.642896810353873,0.928,FALSE,-0.0204,0.0102,-0.0102
"CBL","P22681",0.00733439156886564,0.35,FALSE,0.193,-0.0965,0.0965
"CBLL1","Q75N03",0.699072928341653,0.93,FALSE,-0.0234,0.0117,-0.0117
"CBR1","P16152",0.742372539784126,0.932,FALSE,-0.0125,0.00625,-0.00625
"CBR4","Q8N4T8",0.109772345661989,0.851,FALSE,0.136,-0.0679,0.0679
"CBS","P35520-2",0.287224038308695,0.902,FALSE,-0.101,0.0506,-0.0506
"CBWD2","Q8IUF1",0.523114624016264,0.922,FALSE,-0.0369,0.0184,-0.0184
"CBX1","P83916",0.983701132791901,0.94,FALSE,0.00166,-0.00083,0.00083
"CBX1.1","Q9Y654",0.00438097363396262,0.228,FALSE,0.335,-0.167,0.167
"CBX3","Q13185",0.0886656635990124,0.835,FALSE,-0.18,0.09,-0.09
"CBX4","O00257",0.056512844882624,0.793,FALSE,-0.0961,0.048,-0.048
"CBX5","P45973",0.025649712361222,0.675,FALSE,0.217,-0.108,0.108
"CBX8","Q9HC52",0.366631134642446,0.911,FALSE,-0.0393,0.0196,-0.0196
"CC2D1A","Q6P1N0",0.0439696411118471,0.762,FALSE,-0.11,0.055,-0.055
"CC2D1B","Q5T0F9-2",0.619503609579016,0.927,FALSE,-0.0237,0.0119,-0.0119
"CCAR1","Q8IX12",0.925365447355649,0.938,FALSE,0.00355,-0.00177,0.00177
"CCAR2","H0YC69",0.839016860728685,0.935,FALSE,0.00925,-0.00463,0.00463
"CCBL1","B7Z4W5",0.0302325251625408,0.705,FALSE,0.164,-0.0819,0.0819
"CCDC102B","Q68D86",0.177760870365513,0.88,FALSE,-0.54,0.27,-0.27
"CCDC117","Q8IWD4",0.0431008576788774,0.76,FALSE,-0.157,0.0784,-0.0784
"CCDC12","J3KR35",0.700660969945105,0.93,FALSE,0.028,-0.014,0.014
"CCDC124","Q96CT7",0.146379749351132,0.87,FALSE,-0.0653,0.0326,-0.0326
"CCDC134","Q9H6E4",0.613192838617482,0.927,FALSE,0.0355,-0.0178,0.0178
"CCDC22","O60826",0.296665500479858,0.903,FALSE,0.174,-0.0872,0.0872
"CCDC25","Q86WR0",0.0474626035793575,0.772,FALSE,0.273,-0.136,0.136
"CCDC28B","Q9BUN5",0.814837288546367,0.934,FALSE,0.0257,-0.0128,0.0128
"CCDC43","Q86WV7",0.00871941171507588,0.39,FALSE,0.237,-0.119,0.119
"CCDC47","Q96A33",0.0293751357913061,0.7,FALSE,-0.208,0.104,-0.104
"CCDC50","Q8IVM0-2",0.00337082299931671,0.172,FALSE,-0.295,0.148,-0.148
"CCDC50.1","Q8IVM0",0.00401457486871194,0.207,FALSE,-0.324,0.162,-0.162
"CCDC51","Q96ER9",0.733544684332213,0.932,FALSE,0.015,-0.00748,0.00748
"CCDC53","Q9Y3C0",0.353655767521125,0.909,FALSE,0.0366,-0.0183,0.0183
"CCDC58","Q4VC31",0.0311773921164098,0.71,FALSE,0.15,-0.0751,0.0751
"CCDC6","A0A024QZJ7",0.408136695298487,0.914,FALSE,0.0497,-0.0248,0.0248
"CCDC69","A6NI79",0.127529591161009,0.861,FALSE,0.689,-0.345,0.345
"CCDC86","Q9H6F5",0.326030907536204,0.906,FALSE,0.0829,-0.0415,0.0415
"CCDC88B","A6NC98-3",0.0579043175568982,0.795,FALSE,0.0928,-0.0464,0.0464
"CCDC88B.1","A6NC98",0.00379082752015769,0.196,FALSE,-0.248,0.124,-0.124
"CCDC88C","H0YJX5",0.18095074595136,0.881,FALSE,0.0596,-0.0298,0.0298
"CCDC88C.1","Q9P219",0.346403458490033,0.909,FALSE,-0.0372,0.0186,-0.0186
"CCDC9","Q9Y3X0",0.597470974482914,0.926,FALSE,0.0361,-0.018,0.018
"CCDC90B","E9PKQ5",0.00813748071709007,0.374,FALSE,0.171,-0.0856,0.0856
"CCDC91","Q7Z6B0",0.807371943165784,0.934,FALSE,0.0154,-0.00772,0.00772
"CCDC93","Q567U6",0.123943515521847,0.859,FALSE,0.368,-0.184,0.184
"CCDC94","Q9BW85",0.0123958160363182,0.497,FALSE,0.16,-0.0801,0.0801
"CCM2","Q9BSQ5-2",0.392157000143698,0.913,FALSE,-0.0368,0.0184,-0.0184
"CCNA2","P20248",0.0375928568123186,0.74,FALSE,-0.283,0.142,-0.142
"CCNB1","P14635",0.139073408221943,0.867,FALSE,-0.433,0.216,-0.216
"CCNDBP1","O95273",0.00973598187850163,0.424,FALSE,-0.56,0.28,-0.28
"CCNE1","P24864",0.663786823801326,0.929,FALSE,-0.0166,0.00831,-0.00831
"CCNK","O75909-4",0.357205518295409,0.91,FALSE,-0.0446,0.0223,-0.0223
"CCNL1","Q9UK58",0.139722480436221,0.867,FALSE,0.126,-0.0631,0.0631
"CCNL2","Q96S94",0.165061705203169,0.876,FALSE,-0.0622,0.0311,-0.0311
"CCS","O14618",0.13031625771345,0.863,FALSE,-0.0705,0.0353,-0.0353
"CCSMST1","Q4G0I0",0.112402734623304,0.853,FALSE,-0.0762,0.0381,-0.0381
"CCT2","P78371",0.0099911658801087,0.432,FALSE,-0.164,0.082,-0.082
"CCT4","P50991",0.00585801201591358,0.298,FALSE,-0.279,0.139,-0.139
"CCT5","P48643",0.124464773315369,0.86,FALSE,0.0774,-0.0387,0.0387
"CCT8","P50990",0.608453995335556,0.926,FALSE,0.0197,-0.00983,0.00983
"CCZ1","P86791",0.0825867875720669,0.829,FALSE,-0.0937,0.0468,-0.0468
"CD19","P15391-2",0.143948718546682,0.869,FALSE,0.126,-0.0632,0.0632
"CD22","P20273",0.012257283453144,0.494,FALSE,0.243,-0.121,0.121
"CD2AP","Q9Y5K6",0.00680085310248363,0.333,FALSE,0.175,-0.0873,0.0873
"CD2BP2","O95400",0.123899470897834,0.859,FALSE,-0.0996,0.0498,-0.0498
"CD38","P28907",0.0530719623283421,0.786,FALSE,-0.181,0.0903,-0.0903
"CD3EAP","O15446-2",0.542683496171409,0.923,FALSE,-0.0478,0.0239,-0.0239
"CD40","P25942",0.0169831404226878,0.583,FALSE,0.329,-0.165,0.165
"CD44","P16070",0.254424689222945,0.897,FALSE,-0.155,0.0773,-0.0773
"CD46","P15529-2",0.324566331240633,0.906,FALSE,0.171,-0.0854,0.0854
"CD47","Q08722",0.272298126494514,0.899,FALSE,0.0618,-0.0309,0.0309
"CD48","A0A087X1S7",0.0409338444753454,0.752,FALSE,0.119,-0.0597,0.0597
"CD53","P19397",0.00550376363108644,0.283,FALSE,0.308,-0.154,0.154
"CD59","E9PR17",0.855588845612737,0.936,FALSE,0.00795,-0.00398,0.00398
"CD70","P32970",0.0178789279887056,0.596,FALSE,0.305,-0.152,0.152
"CD72","A0A087X0Y7",0.146637252275743,0.87,FALSE,-0.0646,0.0323,-0.0323
"CD74","P04233-2",0.270627384674069,0.899,FALSE,-0.14,0.0702,-0.0702
"CD74.1","P04233",0.391240205509318,0.913,FALSE,-0.0868,0.0434,-0.0434
"CD79A","P11912",0.0111550041511977,0.466,FALSE,-0.183,0.0913,-0.0913
"CD79B","P40259-3",0.00387494665121199,0.2,FALSE,-0.196,0.0978,-0.0978
"CD80","P33681",0.777833807338673,0.933,FALSE,-0.0128,0.00638,-0.00638
"CD81","A6NMH8",0.677765030269859,0.929,FALSE,0.0285,-0.0142,0.0142
"CD82","P27701",0.0775042132425116,0.824,FALSE,0.114,-0.0572,0.0572
"CD9","G8JLH6",0.295277055095335,0.903,FALSE,0.0794,-0.0397,0.0397
"CDAN1","Q8IWY9",0.754892828643273,0.932,FALSE,-0.0151,0.00754,-0.00754
"CDC123","O75794",0.0320823683479452,0.715,FALSE,-0.209,0.105,-0.105
"CDC16","Q13042",0.0950833049850905,0.841,FALSE,0.0989,-0.0494,0.0494
"CDC20","Q12834",0.232395608757138,0.893,FALSE,-0.218,0.109,-0.109
"CDC23","Q9UJX2",0.0520818402303075,0.783,FALSE,-0.192,0.096,-0.096
"CDC26","Q8NHZ8",0.110395670643457,0.852,FALSE,-0.0966,0.0483,-0.0483
"CDC27","P30260-2",0.0480545915618643,0.774,FALSE,-0.119,0.0593,-0.0593
"CDC37","Q16543",0.821314257056239,0.935,FALSE,0.00879,-0.00439,0.00439
"CDC37L1","Q7L3B6",0.200514197452274,0.886,FALSE,0.0612,-0.0306,0.0306
"CDC40","O60508",0.0820262539789038,0.829,FALSE,-0.0795,0.0398,-0.0398
"CDC42","P60953-1",0.00687625680727131,0.335,FALSE,0.232,-0.116,0.116
"CDC42SE2","Q9NRR3",0.224123802935783,0.891,FALSE,-0.283,0.141,-0.141
"CDC73","Q6P1J9",0.369647327124744,0.911,FALSE,-0.0544,0.0272,-0.0272
"CDCA2","Q69YH5",0.0480587158825792,0.774,FALSE,-0.153,0.0766,-0.0766
"CDCA7L","Q96GN5",0.221771854379783,0.891,FALSE,-0.0866,0.0433,-0.0433
"CDH2","P19022",0.120267652908553,0.857,FALSE,-0.0803,0.0402,-0.0402
"CDK10","Q15131",0.609216994430264,0.926,FALSE,0.0194,-0.00972,0.00972
"CDK11B","J3QR44",0.00806650037653251,0.372,FALSE,-0.164,0.0821,-0.0821
"CDK12","Q9NYV4",0.228692067529534,0.892,FALSE,-0.123,0.0616,-0.0616
"CDK13","Q14004-2",0.0141400595317309,0.535,FALSE,-0.332,0.166,-0.166
"CDK13.1","Q14004",0.00672136267217203,0.33,FALSE,-0.317,0.158,-0.158
"CDK14","O94921",0.0267480121942357,0.683,FALSE,-0.269,0.135,-0.135
"CDK2","G3V5T9",0.0679855600784968,0.812,FALSE,-0.283,0.141,-0.141
"CDK2AP2","O75956",0.0382399184942711,0.743,FALSE,-0.219,0.109,-0.109
"CDK4","P11802",0.124985158907517,0.86,FALSE,-0.131,0.0654,-0.0654
"CDK5","Q00535",0.0714263358168464,0.817,FALSE,-0.181,0.0903,-0.0903
"CDK5RAP1","Q96SZ6",0.132716276293267,0.864,FALSE,-0.131,0.0655,-0.0655
"CDK5RAP2","A0A0C4ZLW1",0.0290888981410837,0.698,FALSE,-0.199,0.0995,-0.0995
"CDK5RAP3","Q96JB5-4",0.00852895955762433,0.385,FALSE,-0.301,0.15,-0.15
"CDK6","Q00534",0.140244856883751,0.867,FALSE,-0.135,0.0673,-0.0673
"CDK7","P50613",0.0213979604538853,0.637,FALSE,-0.125,0.0624,-0.0624
"CDK9","P50750-2",0.0336296766136792,0.723,FALSE,-0.177,0.0884,-0.0884
