Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
S100A10,P60903,NA,7.839666294052245e-5,1.33e-8,0.505,TRUE,Up,-0.252,11.365316845713593,11.36414269182503,0.252,11.87189494142796,11.867369294625412
CKB,P12277,1152,7.968618858518091e-5,1.54e-8,0.74,TRUE,Up,-0.37,14.293826553314869,14.403968674287729,0.37,15.084788572147279,15.09264001668707
PGK1,P00558,5230,8.063590087901336e-5,1.71e-8,0.533,TRUE,Up,-0.267,16.36860684301316,16.387586965904646,0.267,16.895472506722164,16.927625197347005
ZFYVE19.1,Q96K21,84936,9.587289028278438e-5,8.95e-8,0.658,TRUE,Up,-0.329,8.65853494278456,8.727958684094876,0.329,9.318875266827353,9.384433080559296
PPP4R3B,Q5MIZ7,57223,1.0311228373184214e-4,1.7e-7,0.483,TRUE,Up,-0.242,10.408595090422931,10.408361354251783,0.242,10.902823222098725,10.881054718148283
CTSC,P53634,1075,1.1272210780649768e-4,3.63e-7,-0.485,TRUE,Down,0.243,11.701739716773488,11.681560067389968,-0.243,11.218863287509741,11.193999556834207
CD37,P11049,951,1.1864486270640551e-4,5.47e-7,0.555,TRUE,Up,-0.277,9.928448703931629,9.997158964221775,0.277,10.510628238689,10.524111118244685
SNTB2,Q13425,6645,1.2538441002427636e-4,8.45e-7,0.635,TRUE,Up,-0.318,9.813161617713185,9.716143463750619,0.318,10.414125615605611,10.385654185603235
PPP1R13L,Q8WUF5,NA,1.3118698776888422e-4,1.18e-6,0.694,TRUE,Up,-0.347,9.281287249825075,9.395445477370231,0.347,10.053272192615719,10.011667662136047
SZRD1,Q7Z422,26099,1.3431409174358334e-4,1.4e-6,-0.731,TRUE,Down,0.365,10.740167605779972,10.6194447918261,-0.365,9.92082328974562,9.977584510459529
RNF219,Q5W0B1,79596,1.429882996586607e-4,2.18e-6,-1.46,TRUE,Down,0.731,10.326603815804795,10.648436210866794,-0.731,9.050030551738702,8.999078574655119
MRPL30,Q8TCC3,NA,1.457861333916121e-4,2.49e-6,0.724,TRUE,Up,-0.362,9.876079793409248,9.748968211440523,0.362,10.560503962305495,10.51308804262212
GSN,P06396,2934,1.466412114438051e-4,2.58e-6,0.971,TRUE,Up,-0.485,13.704389876732103,13.784828904721204,0.485,14.621627812634992,14.808806773090694
REXO4,Q9GZR2,57109,1.530076236154198e-4,3.44e-6,0.502,TRUE,Up,-0.251,10.269831254982925,10.31719506752441,0.251,10.814719711774938,10.776114649662551
HBA2,G3V1N2,NA,1.5430740442602428e-4,3.63e-6,1.14,TRUE,Up,-0.569,12.75851937113145,12.513268374015924,0.569,13.748831642181846,13.800333167397055
MITD1,Q8WV92,129531,1.612539099229064e-4,4.93e-6,0.426,TRUE,Up,-0.213,10.63668757290663,10.642526438629147,0.213,11.066082415212842,11.065387273203164
