ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id,status
ENSG00000228794,310.002412658932,0.5410274333837549,0.20865098702678297,2.5929780687512745,0.009514883786653936,0.07932899202523477,LINC01128,643837,stable
ENSG00000187634,361.1378393323476,0.6045474133894779,0.2667281053444699,2.2665306027976557,0.02341891562957558,0.14844203594794156,SAMD11,148398,stable
ENSG00000188976,2914.2972959733047,0.6165258770521699,0.23768951312937214,2.5938286840471614,0.009491376786663244,0.07926070406589564,NOC2L,26155,stable
ENSG00000187961,446.3359542650161,0.4762337372307053,0.25161829737227703,1.8926832515924021,0.05840000501409586,0.25851369566204,KLHL17,339451,stable
ENSG00000187608,179.0304447769104,0.28249573675530293,0.2895480080760961,0.975643861729003,0.32924098067967217,0.6443747702898752,ISG15,9636,stable
ENSG00000131591,370.87905848646835,0.1795195967513305,0.21686416792758345,0.82779741101018,0.40778524116385145,0.7053176581733391,C1orf159,54991,stable
ENSG00000186891,193.5534781960317,-2.0736183137341766,0.33510149063269545,-6.188030706216907,6.09204636332266e-10,1.2546409168253457e-7,TNFRSF18,8784,mRNA_down
ENSG00000078808,2579.399815641496,-0.0031509537669600894,0.17898000120790483,-0.017605060597244673,0.9859539195305934,0.9962874405372528,SDF4,51150,stable
ENSG00000176022,668.1613930737492,-0.007310146542437285,0.17955786682472274,-0.04071192575245483,0.9675255541033156,0.9914265432628163,B3GALT6,126792,stable
ENSG00000160087,1640.7235819444466,0.20603865659708018,0.24174234743105938,0.8523068415054534,0.39404380981961656,0.6945359502788616,UBE2J2,118424,stable
ENSG00000131584,1142.0404114172702,0.05899296867707101,0.2246074113258267,0.2626492524393724,0.7928209344135402,0.9274909270917914,ACAP3,116983,stable
ENSG00000169972,687.9610175669842,-0.11598619926446821,0.2256295050129414,-0.5140559930662242,0.6072128436538295,0.8408361056432184,PUSL1,126789,stable
ENSG00000127054,2691.004481187607,0.12291501939823783,0.20813586995599118,0.5905518324363183,0.554820746712541,0.8112012027442398,INTS11,54973,stable
ENSG00000224051,610.0882906607532,0.46033789250607093,0.28373981848554125,1.622394399781886,0.10471892750011205,0.36007483594722184,CPTP,80772,stable
ENSG00000107404,1262.808066565238,0.7596261114720191,0.27752222229172535,2.737172199037512,0.006196984549930947,0.05933637979742201,DVL1,1855,stable
ENSG00000162576,103.97764381760716,-0.12813898108281152,0.36703833846263306,-0.34911606678346196,0.7270021750029194,0.8988423315222315,MXRA8,54587,stable
ENSG00000175756,1954.8889657336827,0.09215328175986208,0.2417834313538389,0.3811397714221369,0.7030995373586362,0.8873976420871982,AURKAIP1,54998,stable
ENSG00000221978,3594.4105289500544,0.12938909456484493,0.22051943729219356,0.5867468924900314,0.5573737091512223,0.8128935307097881,CCNL2,81669,stable
ENSG00000224870,1081.9283886000878,0.022851414098692287,0.24567994741385643,0.09301293955504754,0.925893281509524,0.9775887629656671,MRPL20-AS1,148413,stable
ENSG00000242485,1975.6101722337335,0.17932383553258083,0.2623719232448825,0.6834718948384219,0.4943087037455123,0.7693834358616506,MRPL20,55052,stable
ENSG00000160072,1129.039820232709,0.4637050739059276,0.253707436147073,1.8277157380484503,0.06759222491240041,0.2805746563814245,ATAD3B,83858,stable
ENSG00000197785,1826.3397524302118,0.20653081220346362,0.2059564842584641,1.002788588798587,0.31596287577591586,0.6320872867643961,ATAD3A,55210,stable
ENSG00000160075,3826.5859932230815,0.44798541216558424,0.21432068737157628,2.090257443925113,0.03659467985347016,0.1965553849573835,SSU72,29101,stable
ENSG00000197530,376.8815335184281,0.25068180692093284,0.30736876260402746,0.8155734655569978,0.414744130721639,0.7106936390947224,MIB2,142678,stable
ENSG00000248333,826.2673125594417,0.19091436968086223,0.1906588735480891,1.0013400694550347,0.31666242723657706,0.6325184810151985,CDK11B,984,stable
ENSG00000189339,865.6582317944229,0.09277849798365945,0.20413981700847153,0.45448506490925905,0.6494797390818152,0.8642708263950276,SLC35E2B,728661,stable
ENSG00000008128,183.44548587232686,0.10512830160694171,0.1519927011322464,0.691666776258363,0.4891466159008428,0.7656122832079991,CDK11A,728642,stable
ENSG00000215790,262.7468320970512,0.4515664805307985,0.41075628725710595,1.0993537884622764,0.27161377914753176,0.5901303263766196,SLC35E2A,9906,stable
ENSG00000008130,3924.219077169966,0.04540589300343631,0.17783043319014472,0.25533252204860896,0.7984662832243015,0.9287748413367097,NADK,65220,stable
ENSG00000078369,13212.650960928395,0.2530082273590613,0.2023920778682634,1.2500895787222652,0.21126682622235143,0.5254367103864795,GNB1,2782,stable
ENSG00000067606,538.9958085222157,0.481998727021073,0.26942564292549775,1.788986088285429,0.07361705603887783,0.29575312143750404,PRKCZ,5590,stable
ENSG00000162585,654.9909499607114,0.23585413150474405,0.27822394587565014,0.8477132719918977,0.39659767316163147,0.6960145805530362,FAAP20,199990,stable
ENSG00000157933,497.7769858219369,0.3471594193974172,0.3245725487968061,1.0695895900141306,0.28480408296420395,0.6018569090759298,SKI,6497,stable
ENSG00000116151,173.19622412434148,-0.21457663562147128,0.23737920608174562,-0.903940320482739,0.3660270475389881,0.672634863973103,MORN1,79906,stable
ENSG00000157916,2374.664460636954,0.2750996011226986,0.19948365013505878,1.3790583886771905,0.1678767521323791,0.464071401408564,RER1,11079,stable
ENSG00000157911,581.4331196535201,0.27880585256664625,0.25166047767535443,1.1078650694063679,0.26792009315703846,0.5870051482453,PEX10,5192,stable
ENSG00000157881,183.13775368777644,-0.12682168095112026,0.24707429027984182,-0.5132937174785738,0.607745877996543,0.8410148369446443,PANK4,55229,stable
ENSG00000158109,860.8337034072019,0.39857671769668845,0.24518881785122618,1.6255909269831947,0.10403670659787616,0.35874313338291275,TPRG1L,127262,stable
ENSG00000116213,570.5714497100818,0.15946445379088336,0.26707206464510996,0.5970839893074648,0.5504513068133698,0.807956982334136,WRAP73,49856,stable
ENSG00000227372,228.81114557022661,0.1952838885666074,0.606380786773733,0.3220482786165128,0.7474161201485303,0.908143511194745,TP73-AS1,57212,stable
ENSG00000130764,1787.544069123322,0.2851861866279992,0.21888839858163595,1.3028839740980473,0.19261437598539083,0.49935957590382135,LRRC47,57470,stable
ENSG00000116198,1690.691906052401,0.6535858248328635,0.20406881357839046,3.2027717188731377,0.0013611182850745056,0.021672836440610303,CEP104,9731,mRNA_up
ENSG00000169598,270.6765380771472,0.5898096574616999,0.3060001653950127,1.9274814989080815,0.053919651554209747,0.24655568723919843,DFFB,1677,stable
ENSG00000198912,523.389093614705,0.414007598428267,0.23878264529589532,1.7338261661153638,0.08294893146440545,0.315329503387518,C1orf174,339448,stable
ENSG00000131697,513.0234546101544,0.16766906093007533,0.1761635284742209,0.9517807822213972,0.34120817034621015,0.6551851875791798,NPHP4,261734,stable
ENSG00000069424,2217.923080287016,0.6023407683582036,0.18305695429674124,3.2904555343021262,0.0010002530915620702,0.01726731828857108,KCNAB2,8514,mRNA_up
ENSG00000116251,1971.9605018989048,0.5210969331068419,0.16009535685604176,3.254915965960299,0.0011342592216495625,0.018967334762028793,RPL22,6146,mRNA_up
ENSG00000116237,4111.77728212143,0.47060698512027094,0.19109982148816154,2.462623886592299,0.013792451467799647,0.10208675143789411,ICMT,23463,stable
ENSG00000097021,2004.6032747745617,0.14158527352690797,0.229139325517908,0.617900367852146,0.5366410165045399,0.7985491077242507,ACOT7,11332,stable
ENSG00000162408,961.6129907520809,0.5304100871664635,0.27542483456216993,1.9257888926742275,0.05413073893030708,0.24723708015801235,NOL9,79707,stable
ENSG00000204859,552.221709320867,0.5512254015159763,0.2397523174693991,2.2991452484555537,0.021496692827373872,0.14027219405255245,ZBTB48,3104,stable
ENSG00000162413,1421.895717140058,-0.057863834522939334,0.21375947981669657,-0.2706959923955599,0.7866248593795754,0.9250840737584488,KLHL21,9903,stable
ENSG00000116273,520.1404149408436,-0.004289783389446653,0.23327997055702598,-0.018388991473222097,0.9853285344910283,0.9961831357553539,PHF13,148479,stable
ENSG00000041988,986.1882693868763,0.13515198836941417,0.23975667659917868,0.563704795572217,0.5729550531779979,0.8199373236492642,THAP3,90326,stable
ENSG00000007923,2203.159598874657,0.22349569443585868,0.2409727693130516,0.9274728222320915,0.3536810962625465,0.663287234920447,DNAJC11,55735,stable
ENSG00000171735,677.3087031049828,0.1082229840607499,0.2750535631805123,0.39346148731665503,0.6939786635936793,0.8828682844133416,CAMTA1,23261,stable
ENSG00000049245,627.7592558719557,0.014382412294957951,0.21465719153380847,0.0670017724176398,0.9465802921878462,0.985069974120771,VAMP3,9341,stable
ENSG00000116288,5711.103768871531,0.041012599074195064,0.22439979528065662,0.18276575975882975,0.8549818157908713,0.9519453140591236,PARK7,11315,stable
ENSG00000116285,203.72152674358827,-0.10160777064426557,0.3045743915853861,-0.33360575757985317,0.7386770730187091,0.9048044502474936,ERRFI1,54206,stable
ENSG00000142599,2390.833037215551,0.5008171995346771,0.21633876560008056,2.31496744536519,0.02061471374381892,0.13642256656887375,RERE,473,stable
ENSG00000074800,45131.30317259287,-0.07671902317331372,0.2302364047719254,-0.3332184727663394,0.7389693749259708,0.90484630147658,ENO1,2023,stable
ENSG00000142583,3070.421765339366,-0.01426422699489615,0.40103312817724535,-0.03556869992194701,0.971626266365578,0.9926299576114032,SLC2A5,6518,stable
ENSG00000049239,444.3858437949751,0.18144866226419257,0.4375569350440917,0.41468583338967846,0.6783719043802864,0.8765446104039826,H6PD,9563,stable
ENSG00000171612,411.8720889315933,0.39835295610442795,0.23189038467424522,1.7178502535326157,0.08582393254092366,0.32177807221268057,SLC25A33,84275,stable
ENSG00000188807,1977.2870666987073,0.034531549556924265,0.1607434755156556,0.2148239575270417,0.8299045735385766,0.9407348193095162,TMEM201,199953,stable
ENSG00000171608,2082.2117845253656,-0.22624503356206446,0.19709149938272022,-1.1479187802145274,0.2510020945564196,0.568647193317525,PIK3CD,5293,stable
ENSG00000231789,111.44309026192643,0.5028431125835333,0.41887607885202827,1.2004579348661424,0.22996154017647988,0.5483546018962754,PIK3CD-AS2,101929074,stable
ENSG00000171603,6562.254513678005,0.12870468494824686,0.2059680433070968,0.6248769609193652,0.5320518144499573,0.7950300725341203,CLSTN1,22883,stable
