"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"LDHA","P00338-3",0.000383461706202848,0.000574,TRUE,0.52,-0.26,0.26
"LRMP","A0A024RAY9",0.000823917628786691,0.00981,TRUE,0.416,-0.208,0.208
"LRMP.1","A0A1B0GU45",0.000823917628786691,0.00981,TRUE,0.416,-0.208,0.208
"LSP1","P33241-3",0.00149089872718952,0.0436,TRUE,0.408,-0.204,0.204
"MACROD1","Q9BQ69",1.04876145086422e-05,8.63e-14,TRUE,1.03,-0.515,0.515
"MAP4.1","P27816-5",0.00110075241485852,0.0208,TRUE,0.322,-0.161,0.161
"MDH1.1","C9JRL4",0.000749349553049297,0.00746,TRUE,0.35,-0.175,0.175
"ME1","P48163",0.00186922326372454,0.067,TRUE,-0.396,0.198,-0.198
"MELTF","P08582",0.000337841807783458,0.000322,TRUE,0.989,-0.495,0.495
"MIF","P14174",0.000558736133217843,0.00277,TRUE,0.392,-0.196,0.196
"MITD1","Q8WV92",0.000161063301800435,4.3e-06,TRUE,0.426,-0.213,0.213
"MRPL30","Q8TCC3-2",0.000145372398975677,2.13e-06,TRUE,0.724,-0.362,0.362
"MT1E","P04732",0.00112868812805302,0.0219,TRUE,1.16,-0.581,0.581
"MVP","Q14764",0.00190829351472183,0.0693,TRUE,0.485,-0.242,0.242
"NCBP2","P52298",0.00211237521185488,0.0824,TRUE,0.334,-0.167,0.167
"NDUFB7","P17568",0.00049509042278126,0.00176,TRUE,0.627,-0.313,0.313
"NGDN","Q8NEJ9",0.000280572408334193,0.000124,TRUE,0.481,-0.24,0.24
"NR3C1","P04150-3",0.000979982502342985,0.0157,TRUE,0.34,-0.17,0.17
"NT5C2","Q5JUV4",0.000244609726444257,5.92e-05,TRUE,0.518,-0.259,0.259
"NUDT15","Q9NV35",0.00031332001480976,0.000221,TRUE,0.552,-0.276,0.276
"PDCL","Q13371",7.21359426997869e-06,8.63e-14,TRUE,0.901,-0.451,0.451
"PDK3","Q15120-2",0.000261980025760847,8.68e-05,TRUE,0.414,-0.207,0.207
"PEA15","Q15121-2",0.000233908041936181,4.61e-05,TRUE,0.52,-0.26,0.26
"PGAM1","P18669",0.00105965511988606,0.019,TRUE,0.448,-0.224,0.224
"PGK1","P00558",8.04930045404355e-05,1.42e-08,TRUE,0.533,-0.267,0.267
"PHYKPL","Q8IUZ5",7.99330481182265e-06,8.63e-14,TRUE,1.18,-0.588,0.588
"PIGU","Q9H490",4.43709390595187e-06,8.63e-14,TRUE,1.5,-0.749,0.749
"PLEKHO2","Q8TD55",4.83666963151821e-05,5.11e-11,TRUE,0.645,-0.322,0.322
"PPME1","Q9Y570",0.000821579621614315,0.00973,TRUE,0.335,-0.167,0.167
"PPP1R12C","Q9BZL4-4",0.000402489708687212,0.000716,TRUE,0.466,-0.233,0.233
"PPP1R13L","Q8WUF5",0.000130825999017764,1.01e-06,TRUE,0.694,-0.347,0.347
"PPP4R3B","Q5MIZ7",0.000102960121749491,1.44e-07,TRUE,0.483,-0.242,0.242
"PPP6R2","O75170",0.00180966495380751,0.0635,TRUE,0.35,-0.175,0.175
"PRIM1","P49642",0.00113255118526869,0.0221,TRUE,-0.356,0.178,-0.178
"PRMT1","H7C2I1",0.000555522507376027,0.00271,TRUE,-0.363,0.182,-0.182
"PRPF39","Q86UA1",0.00140041353601746,0.0379,TRUE,0.476,-0.238,0.238
"PSIP1","O75475",0.00108163278244797,0.02,TRUE,0.387,-0.193,0.193
"Q14403","Q14403",1.11627781929862e-05,8.63e-14,TRUE,0.868,-0.434,0.434
"Q59FR8","Q59FR8",0.000738950660761569,0.00715,TRUE,0.503,-0.251,0.251
"Q59GX6","Q59GX6",0.00095366285700181,0.0147,TRUE,-0.464,0.232,-0.232
"Q59H39","Q59H39",0.00170808186160125,0.0573,TRUE,0.339,-0.169,0.169
"QPRT","Q15274",4.97293701803577e-05,6.98e-11,TRUE,0.809,-0.404,0.404
"RABEP2","Q9H5N1",0.000360217670030072,0.000436,TRUE,0.354,-0.177,0.177
"REXO4","Q9GZR2",0.000152722230363776,2.97e-06,TRUE,0.502,-0.251,0.251
"RGN","Q15493",0.000778644172144545,0.00837,TRUE,0.754,-0.377,0.377
"RNF219","Q5W0B1",0.000142482357982669,1.86e-06,TRUE,-1.46,0.731,-0.731
"RPL14","Q6IPH7",0.00189797346250541,0.0687,TRUE,-0.503,0.251,-0.251
"RPL17","P18621-3",0.00128282911238548,0.0307,TRUE,-0.359,0.179,-0.179
"RPL24","P83731",0.000673638082314474,0.00531,TRUE,-0.37,0.185,-0.185
"RPL26","P61254",0.00227573118217565,0.0937,TRUE,-0.349,0.175,-0.175
"RPL27","P61353",0.00111106312617879,0.0212,TRUE,-0.366,0.183,-0.183
"RPL34","P49207",0.00153164325124218,0.0462,TRUE,-0.458,0.229,-0.229
"RPL7A","P62424",0.000224175414785701,3.59e-05,TRUE,-0.407,0.203,-0.203
"RPP14.1","P86397",0.000547105988132694,0.00257,TRUE,0.411,-0.205,0.205
"RPS9","P46781",0.00180394580625812,0.0631,TRUE,-0.356,0.178,-0.178
"RTTN","Q86VV8",0.00198048602664389,0.0735,TRUE,-0.363,0.181,-0.181
"RYR3.1","A0A1B0GVA9",6.93239212944325e-05,3.27e-09,TRUE,0.553,-0.276,0.276
"S100A10","P60903",7.82799601726268e-05,1.1e-08,TRUE,0.505,-0.252,0.252
"S100A13","Q99584",0.000844948428843811,0.0105,TRUE,0.355,-0.177,0.177
"SERPINB6","A0A087X1N8",0.00178654153137349,0.0621,TRUE,0.349,-0.175,0.175
"SERPINH1","P50454",0.000920254922470069,0.0134,TRUE,0.332,-0.166,0.166
"SNTB2","Q13425",0.000125065909852163,7.21e-07,TRUE,0.635,-0.318,0.318
"SZRD1","Q7Z422",0.000133930705884984,1.2e-06,TRUE,-0.731,0.365,-0.365
"TAF9","Q16594",0.000599381923232756,0.00358,TRUE,-0.411,0.206,-0.206
"TBC1D4","A0A024R637",0.000859229178617123,0.011,TRUE,0.44,-0.22,0.22
"TIGAR","Q9NQ88",3.91134695826063e-05,3.49e-12,TRUE,-0.734,0.367,-0.367
"TIMM8B","G3XAN8",0.00190334199775358,0.069,TRUE,-0.496,0.248,-0.248
"TMSB10","D6W5K2",0.000176080506777792,7.84e-06,TRUE,0.505,-0.253,0.253
"TNFRSF13C","Q96RJ3-2",0.00188717019002675,0.0681,TRUE,0.684,-0.342,0.342
"TPD52","P55327-3",0.00125991362741315,0.0293,TRUE,0.48,-0.24,0.24
"UBE2T","Q9NPD8",3.98911554241108e-06,8.63e-14,TRUE,1.4,-0.7,0.7
"VAT1","Q99536",0.000709206313848138,0.00627,TRUE,0.342,-0.171,0.171
"VIPAS39","G3V4K3",1.568177373291e-05,8.63e-14,TRUE,0.804,-0.402,0.402
"VPS8","C9JJN9",0.000415883954639183,0.000827,TRUE,0.361,-0.18,0.18
"VTN","P04004",5.27860297319426e-06,8.63e-14,TRUE,0.987,-0.494,0.494
"XPC","A0A024R2M8",0.00051582429330302,0.00206,TRUE,0.364,-0.182,0.182
"ZC3H8","A0A0C4DGZ1",0.000679846755394438,0.00547,TRUE,0.362,-0.181,0.181
"ZC3HAV1L","Q96H79",4.65740921470755e-05,3.32e-11,TRUE,0.615,-0.308,0.308
"ZCCHC9","Q8N567",3.11857189215418e-07,8.63e-14,TRUE,2.1,-1.05,1.05
"ZFYVE19.1","Q96K21",9.56249949172947e-05,7.48e-08,TRUE,0.658,-0.329,0.329
"ZNF146","Q15072",0.00053867140834299,0.00243,TRUE,0.338,-0.169,0.169
"ZNF428","M0QXZ5",0.000628612736927038,0.00423,TRUE,-0.526,0.263,-0.263
"ZNF626","A0A087X1I5",0.000214277382169794,2.73e-05,TRUE,0.769,-0.384,0.384
"ZNF687","Q8N1G0",5.1683550639282e-06,8.63e-14,TRUE,0.991,-0.496,0.496
"ZNF787","A0A087WUD1",0.000171924572460228,6.71e-06,TRUE,0.479,-0.24,0.24
"01-Sep","J3KNL2",0.0240604526622031,0.649,FALSE,-0.135,0.0674,-0.0674
"02-Sep","Q15019-2",0.039437463114331,0.737,FALSE,0.108,-0.0542,0.0542
"07-Sep","Q16181",0.26464212387447,0.894,FALSE,0.0498,-0.0249,0.0249
"08-Sep","Q92599",0.360182539550477,0.906,FALSE,-0.0629,0.0315,-0.0315
"09-Sep","A0A024R8V0",0.510119570704393,0.918,FALSE,0.0328,-0.0164,0.0164
"09-Sep.1","Q9UHD8",0.489264781500521,0.917,FALSE,0.034,-0.017,0.017
"11-Sep","Q9NVA2-2",0.0173187134178366,0.573,FALSE,0.145,-0.0727,0.0727
"14-Sep","Q6ZU15",0.0888214489586839,0.829,FALSE,-0.152,0.0758,-0.0758
"15-Sep","A0A0B4J1S4",0.819436999306962,0.932,FALSE,0.0233,-0.0116,0.0116
"A0A087WV05","A0A087WV05",0.67303335716774,0.926,FALSE,0.0232,-0.0116,0.0116
"A0A087WZ62","A0A087WZ62",0.0774935860774905,0.817,FALSE,-0.117,0.0585,-0.0585
"A0A096LPI6","A0A096LPI6",0.0083686282462474,0.37,FALSE,0.196,-0.0982,0.0982
"A0A0B4J2A0","A0A0B4J2A0",0.0236129142146848,0.645,FALSE,-0.163,0.0816,-0.0816
"A0A0J9YYD9","A0A0J9YYD9",0.0146573215550556,0.529,FALSE,0.168,-0.0842,0.0842
"A0A140VJK2","A0A140VJK2",0.163770250751248,0.871,FALSE,-0.0666,0.0333,-0.0333
"A0A142I7X2","A0A142I7X2",0.565990874411803,0.921,FALSE,-0.0322,0.0161,-0.0161
"A1E282","A1E282",0.0265827936389885,0.669,FALSE,0.157,-0.0784,0.0784
"A2M","P01023",0.346145092350475,0.905,FALSE,-0.473,0.236,-0.236
"A4UCT0","A4UCT0",0.477990934758013,0.916,FALSE,0.0427,-0.0213,0.0213
"A4UCU2","A4UCU2",0.172395140790675,0.873,FALSE,-0.143,0.0717,-0.0717
"A6NDA2","A6NDA2",0.848282638798249,0.933,FALSE,0.00721,-0.00361,0.00361
"A6NJU0","A6NJU0",0.0189749789638219,0.596,FALSE,0.158,-0.0791,0.0791
"A6P4V4","A6P4V4",0.891320981433875,0.934,FALSE,0.00802,-0.00401,0.00401
"A6YR18","A6YR18",0.30709503604985,0.9,FALSE,0.0538,-0.0269,0.0269
"A8JZZ8","A8JZZ8",0.40840678441492,0.911,FALSE,-0.0392,0.0196,-0.0196
"A8K005","A8K005",0.139283669736115,0.861,FALSE,0.465,-0.232,0.232
"A8K032","A8K032",0.0750663527717525,0.814,FALSE,-0.0876,0.0438,-0.0438
"A8K099","A8K099",0.00729345137605088,0.338,FALSE,-0.235,0.117,-0.117
