ctl_1,ctl_2,sh_1,sh_2,Name
9.054400393863258,9.135885613069597,9.1755241068585,9.133520542361588,ELF2
10.91447775046348,10.844281718856296,10.8408183074719,10.825859314508213,ELL
8.629984765058905,8.664052505133505,8.64443847621873,8.697007499799579,ELL3
14.058854601807031,14.03742927246377,14.059051847841962,14.024153502564497,ELMO1
10.210888224803448,10.133465727455713,10.08126233204941,10.04162273861226,ELMOD2
10.860004494846049,10.81322727621038,10.753981544063393,10.740030583726128,ELMSAN1
9.59083981125367,9.868048252893718,10.240905889973428,10.158035213686595,ELOF1
10.147161081713852,9.944172508860603,10.150946089465016,10.155265831277768,ELOVL1
12.969608648726412,12.742636590693577,12.625942723833344,12.611222902856213,ELP2
11.812998165031097,11.886346601760659,12.158881666376159,12.127881965166441,ELP3
10.63379142287208,10.656082900113281,10.64031266254983,10.689611569315161,ELP4
10.436651006751145,10.414269899014915,10.486652550882328,10.554098446316528,ELP5
10.280684712854278,10.357798452047106,10.294689783805094,10.254050970969486,ELP6
11.913281081345342,12.02135792663777,11.854821005881625,11.938665525348156,EMC1
10.789823642913285,11.147705568965591,11.119342005470656,11.10279715340319,EMC2
9.128694217149455,9.084500607188115,9.105600378222109,9.107968359757404,EMC3
10.680457095447602,10.595783967675368,10.602025140652888,10.61552404991421,EMC4
9.86663761015731,9.837851469866155,9.851533221395707,9.828038948156253,EMC6
10.615469481282046,10.928858040376623,10.930846316012321,10.911545799800155,EMC8
11.169326147309462,10.926590190671096,11.070135827144822,11.17045513091519,EMD
11.54630346487864,11.437025898863757,11.413814784795335,11.342830586941211,EMG1
13.101385277623798,13.12786040071862,13.211623083469632,13.184827990956183,EML2
10.92456120475958,11.17074697933935,10.987123308215317,11.00093598586985,EML3
12.952114515438023,12.836220382470568,12.891434782426035,12.927884917788232,EML4
8.70430899263594,8.672584012768576,8.645357108141727,8.642679012880635,ENDOD1
9.622272991227408,9.534476409575634,9.679250122066529,9.701456678846313,ENDOG
8.857942057297711,8.896673777500522,8.84434221471633,8.842092366036606,ENGASE
17.343602249823086,17.376921901175546,17.663872576389426,17.706406105011624,ENO1
14.162113707606627,14.241879897982935,14.382062592089294,14.45286439961919,ENO2
12.031016184289784,12.309765362306045,12.265368098067965,12.213137068003226,ENOPH1
10.338321415311027,10.269675962711519,10.144787838116207,10.15760950071779,ENOSF1
9.546438746316092,9.673888715307893,9.619109593573539,9.616342712124025,ENPP4
14.25552769816865,14.24471908542724,14.18421768992385,14.261001011722875,ENSA
10.97303132343341,11.05479194513478,10.929338595295992,10.954208716033413,ENY2
9.235866288187351,9.221099040365097,9.081820153217395,9.125271063471295,EOGT
11.455270993074627,11.201354108069172,11.13190470983858,11.172879602290976,EP300
8.894020359008293,8.583265398118906,9.095552839705748,9.08105776504749,EP400
12.581507703950303,12.61425302491929,12.466636308894081,12.414854793632303,EPB41
13.358996804335783,13.29907889119604,13.600768534916785,13.557330352652366,EPB41L2
9.38468556721194,9.415915372968119,9.308473857088085,9.244919366826464,EPG5
9.084239145805558,9.166135115281554,9.128776037789926,9.091124556898375,EPHX1
11.678318883056273,11.656804622762891,11.917412530282304,11.873344465393831,EPM2AIP1
12.463839566078,12.453540344311968,12.45901520904926,12.558868150468273,EPN1
16.39360917828552,16.420727011120235,16.332972423280562,16.302087492163558,EPRS
13.83447081440173,13.885453524015405,13.989443236589944,14.02232796745998,EPS15
11.576902907368956,11.559275240990008,11.772566959118754,11.741396251996633,EPS15L1
8.404960959728779,8.472588051998356,8.65298971175151,8.704895748951984,EPS8L2
11.289098275071195,11.024286106454559,10.865467992770627,10.863738326049573,ERAL1
14.031355399251654,14.181675990980702,13.786662939664497,13.754293738304613,ERAP1
11.254824941696096,11.273490059208154,11.341120989433705,11.39901697396883,ERBIN
9.570143821438046,9.601404510415094,9.390936734674872,9.491002943135026,ERC1
8.86586227677261,9.020016845941377,8.913588942094476,8.911401595675224,ERCC1
11.02240814146288,10.949827891439485,10.906467778829382,10.915705684696286,ERCC2
9.80288460403556,9.821554046420381,10.136644618351268,10.158035213686595,ERCC4
10.296007496622142,10.089687033317825,10.078657662241582,10.076383853540133,ERCC5-202
10.415896423911697,10.248043315722438,9.9392931727779,9.878768480779064,ERCC6L
9.613361748120866,9.992055489234444,9.855375666338512,9.896353041648602,ERGIC1
10.208865805403747,10.130794521701935,10.020604044626209,10.039198247520803,ERGIC3
13.57047765302909,13.689538968964193,13.666629200024738,13.615476480473436,ERH
11.346194111571053,11.348678047491875,11.360549991535903,11.363465725905499,ERI1
10.949745241722947,11.139476412600429,11.121929314330183,11.06805136741559,ERI3
9.242269369389405,9.12009440557052,9.191964207149773,9.171968609229172,ERICH1
12.206755287674445,12.312528449083011,12.394094913966875,12.385979490301432,ERLEC1
10.216164264496088,10.223708332108988,10.09084768802131,10.214690095352923,ERLIN2
12.560676412601268,12.621106191498171,12.718125998499788,12.737973325402333,ERO1A
14.281148222147783,14.39942744053757,14.049938864874465,14.094342463254119,ERP29
12.587088149034397,12.561854782805327,12.516168065660898,12.692889704800878,ERP44
11.13015788774621,11.118270011392026,10.998251826183226,11.020733496406908,ERVK3-1
13.821267891930562,13.883638369893887,13.817715871750602,13.851288761098274,ESD
13.265507455885551,13.2825010250152,13.22010023449118,13.255159149454977,ESD.1
10.817653748861241,10.59435598435202,10.621762729407623,10.599549408841051,ESF1
8.760194444154195,8.763244462761326,8.67654717085929,8.70402140370442,ESRRB
12.505469575040808,12.693822426529866,12.747583772812675,12.760488285707586,ESYT1
11.335111191630583,11.32728564469542,11.270039125944203,11.260480102158862,ESYT2
14.056801866684006,14.238635251409697,14.217690263188661,14.175510945976173,ETF1
13.835038285476985,13.83223189440583,14.016639714065786,14.10916205185149,ETFA
13.907894832174156,13.783408540916575,13.858194693157998,13.963920265049715,ETFB
10.581964074251998,10.583086661196285,10.765504830350874,10.760780449049644,ETFDH
10.923423212883192,11.260236452692743,11.27256822019767,11.323604772358385,ETHE1
10.178184293199672,10.041098118326074,10.034812205912237,10.093288355654453,ETNK1
NA,8.435244938056515,8.432673955700256,8.418693310646736,ETV3
9.422767452444553,9.443368898045701,10.43694124494708,10.545745111209115,EVL
13.582994049644071,13.491909391982661,13.49492147015479,13.462566328850276,EWSR1
13.360977094889515,13.23916752489544,13.24974902821381,13.223463431327742,EWSR1.1
