Subtype,Study,Mutated,Not_expressed,Wild_type
MHG,REMoDL-B,8,NA,42
GCB,REMoDL-B,12,NA,203
ABC,REMoDL-B,2,NA,118
Unclassified,REMoDL-B,2,NA,NA
MHG,GOYA,8,2,29
GCB,GOYA,17,0,182
ABC,GOYA,2,0,85
Unclassified,GOYA,7,1,220
