ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id,status
ENSG00000187634,SAMD11,2758.657246933743,-0.5004585366431555,0.3431852782765812,-1.4582750727431382,0.14476473820976912,0.5876964569375378,148398,stable
ENSG00000188976,NOC2L,9305.412604429512,-0.3204160774330029,0.1912357514171368,-1.6755030116418395,0.09383558068044251,0.5096850430209338,26155,stable
ENSG00000187961,KLHL17,1368.972188632937,-0.1321156922965901,0.21989512081027335,-0.6008122954696217,0.5479650137893783,0.8596396794073293,339451,stable
ENSG00000187583,PLEKHN1,9.723422883964194,-0.20382320981614574,0.6664924623720196,-0.30581472608219334,0.7597457155142446,0.937707840193106,84069,stable
ENSG00000187642,PERM1,7.186108784208772,-0.39645618220591444,0.6340043939423644,-0.6253208747350656,0.5317604820891983,0.8539724255829261,84808,stable
ENSG00000188290,HES4,78.86423795693004,-0.005285694193485737,0.4671386998976685,-0.011315042394568512,0.9909720950096784,0.9974380300519801,57801,stable
ENSG00000187608,ISG15,1554.0908230983096,-0.35380843604873463,0.4068936129829827,-0.8695354873106149,0.3845543065099608,0.7864737704669174,9636,stable
ENSG00000188157,AGRN,715.1260478232927,0.035805425431578754,0.320105539962188,0.11185506328883973,0.9109383272263526,0.9788212870719589,375790,stable
ENSG00000131591,C1orf159,868.393241346007,-0.22041101204525282,0.2624687176516714,-0.8397610733091843,0.40104236320165815,0.796338447766397,54991,stable
ENSG00000162571,TTLL10,4.276044292509599,-1.3537815704734737,0.5680106376036959,-2.383373621636316,0.0171547735705457,0.2626811860786641,254173,stable
ENSG00000186891,TNFRSF18,194.53433865792502,-0.6721990074022103,0.593816443860182,-1.131997967305338,0.25763528900018867,0.6965996514254944,8784,stable
ENSG00000186827,TNFRSF4,324.37587963568836,-0.5824428050377114,0.47601905865739785,-1.223570347541293,0.22111435132794008,0.6710921616764853,7293,stable
ENSG00000078808,SDF4,4402.992332304432,-0.15146956252983573,0.18461504466952677,-0.8204616411461825,0.41195298796296936,0.8016252188574091,51150,stable
ENSG00000176022,B3GALT6,1660.5780829913601,-0.10999515834497622,0.2356493468297368,-0.4667747219535083,0.6406610629700078,0.8980355073258821,126792,stable
ENSG00000184163,C1QTNF12,78.95287577611276,-0.03406369878646806,0.3787665706595842,-0.08993322385116914,0.9283402793010079,0.9823282656141391,388581,stable
ENSG00000160087,UBE2J2,3600.5679533100624,-0.22104366129988195,0.1781831121617689,-1.2405421513751584,0.21477493354575566,0.6647747384260589,118424,stable
ENSG00000162572,SCNN1D,345.63461523719195,-0.0898539443469265,0.42804996341513835,-0.20991461751343007,0.8337343132762145,0.9598108966083457,6339,stable
ENSG00000131584,ACAP3,4793.948608584528,-0.008722128691773528,0.30555867963788813,-0.02854485659549897,0.9772275922006307,0.9945374747538055,116983,stable
ENSG00000169972,PUSL1,1397.9202206017749,-0.47402286381924197,0.3186506788955791,-1.4875940809609194,0.1368579753615497,0.5782104290717291,126789,stable
ENSG00000127054,INTS11,8699.422710549343,-0.1228734390908675,0.19068189537707667,-0.6443896461585049,0.5193227968609295,0.8502418292509529,54973,stable
ENSG00000224051,CPTP,1932.7749587739233,0.08097363697387579,0.343622600547199,0.23564700588648704,0.8137065949869219,0.9541621308149578,80772,stable
ENSG00000169962,TAS1R3,1687.8617802844212,0.2758878855668389,0.6590324833878776,0.41862562547537346,0.6754897586377197,0.9108125651289071,83756,stable
ENSG00000107404,DVL1,2433.0460146822056,0.2223880820217126,0.2212315469046686,1.0052277133764398,0.3147872134610945,0.7403819005063568,1855,stable
ENSG00000162576,MXRA8,624.1062134143043,-0.13348695990942605,0.34725787352961696,-0.38440297566943776,0.700679795372787,0.9190515501870796,54587,stable
ENSG00000175756,AURKAIP1,5481.170272348962,-0.2818482492013758,0.3134286616710795,-0.8992421040841343,0.3685237180914291,0.7765726666882639,54998,stable
ENSG00000221978,CCNL2,11759.43873163812,-0.06453335326307509,0.17202585468038298,-0.3751375244318677,0.7075581909711179,0.9203606260435337,81669,stable
ENSG00000242485,MRPL20,4914.196544587302,-0.3729016724003621,0.21527295537981742,-1.7322272170344484,0.08323311491201271,0.48707655677161854,55052,stable
ENSG00000235098,ANKRD65,65.10674451894124,-0.6706426903867178,0.5030092000291826,-1.3332612810020368,0.18244607520351083,0.6310290439407119,441869,stable
ENSG00000179403,VWA1,440.10860122822606,-0.15370224580092157,0.3409275830137378,-0.45083546611929043,0.6521081377493656,0.9030130205908116,64856,stable
ENSG00000215915,ATAD3C,71.95006301800588,-0.9324977746409315,0.44392528813809784,-2.100573676602192,0.03567840679435727,0.35006096929889063,219293,stable
ENSG00000160072,ATAD3B,4337.140337249172,-0.35132305536168923,0.2879105948908016,-1.2202505277547657,0.22236991776527798,0.6725016284487605,83858,stable
ENSG00000197785,ATAD3A,3997.0516949728512,-0.18237632869689893,0.2453304756705685,-0.7433904336524222,0.4572453343610445,0.8236779624613269,55210,stable
ENSG00000205090,TMEM240,28.36829222580411,0.1462909597453547,0.44531512304842175,0.3285110973638495,0.742525254976292,0.9310413849311073,339453,stable
ENSG00000160075,SSU72,9433.457233615492,-0.15388662333383765,0.2164303466246985,-0.7110214705735562,0.47707093101804693,0.8340759956754119,29101,stable
ENSG00000228594,FNDC10,169.5507316764155,0.03656658409864709,0.5489729764601242,0.06660907852775369,0.9468929181793525,0.9872215698492347,643988,stable
ENSG00000197530,MIB2,2405.731949888691,-0.009248332793576572,0.25875209738112137,-0.035742059241956635,0.9714880335368955,0.9934247530452441,142678,stable
