ensembl_gene_id,external_gene_name,entrezgene_id,SLX.12465.A001,SLX.12465.A004,SLX.14296.A004,SLX.12465.A002,SLX.12465.A005,SLX.12465.A003,SLX.12465.A006
ENSG00000000419,DPM1,8813,9.692829025253067,9.929334344346099,9.948369633760375,9.802864972209612,9.925450709126684,10.012380812568924,9.884440349327994
ENSG00000000457,SCYL3,57147,7.725644295721294,7.944654383385993,7.607648994270297,7.843410868171426,7.811284509887938,7.175535014276621,7.732963575191731
ENSG00000000460,C1orf112,55732,8.850724486761873,9.054527789290518,8.887956434599891,9.041900820253096,9.040406702241025,9.187454870661771,9.122484591278656
ENSG00000000938,FGR,2268,8.677798378500306,8.664556379261594,8.642476953345087,8.806042981129947,8.734444936507298,8.477408089778562,8.620458128081898
ENSG00000001084,GCLC,2729,8.944910606441598,9.169857873085899,9.294567375468626,9.14467583960686,9.28574302191878,9.05938425627574,9.183301817743088
ENSG00000001167,NFYA,4800,8.701297391291542,8.777703814673151,8.539228780493017,8.747898864204654,8.631223141455786,8.029669069428605,8.733962012466279
ENSG00000001461,NIPAL3,57185,7.557871725619621,7.6121487867591275,7.900890711971352,7.865350157254135,7.593824636605775,7.6977328751457215,7.964539517295894
ENSG00000001497,LAS1L,81887,10.750479136259104,10.795914681154995,10.466725057190814,10.714438335098178,10.810161149377583,10.505835911291276,10.674939968087674
ENSG00000001561,ENPP4,22875,7.6268170814676814,7.9920607243474056,7.987707915458909,7.78904176261424,8.022058639593366,7.887765142175977,7.983544217385711
ENSG00000001629,ANKIB1,54467,9.10059613916346,9.24937860671729,9.305475289154769,9.196546432809416,9.222813855874687,9.260812286746251,9.385029710571262
ENSG00000001630,CYP51A1,1595,8.957856642693569,9.120880402470835,9.550860163978854,9.013163414374715,8.982648664396189,8.823783546645371,8.788631133624449
ENSG00000001631,KRIT1,889,8.703883512647613,9.169857873085899,9.233647391049814,9.204480415363484,9.476228536265369,9.149283879752993,9.356468616763733
ENSG00000002016,RAD52,5893,7.943582852289932,7.817345397508771,7.566784087779471,7.75612531004674,7.656817781040106,7.836521394456624,7.925622360748318
ENSG00000002330,BAD,572,8.527533171594428,8.244031444213059,8.392585355539913,8.198478333876187,8.174512255682146,8.598173422178558,8.230899052170239
ENSG00000002549,LAP3,51056,10.81762621659311,10.777338477730208,10.798744431778784,10.680020938620538,10.664665469468536,10.776815751988437,10.803753462101096
ENSG00000002822,MAD1L1,8379,9.737949470192511,9.289721709108834,9.09484593573252,9.535683713746723,9.28574302191878,9.66240042009761,9.290451556040978
ENSG00000002834,LASP1,3927,10.220123229437963,9.95167732238999,10.084422442030839,9.991888959256409,9.93326877601875,9.809216432035932,9.84650479542009
