ensembl_gene_id,external_gene_name,entrezgene_id,baseMean_RNA,baseMean_Ribo,log2FoldChange_RNA,log2FoldChange_Ribo,lfcSE_RNA,lfcSE_Ribo,pvalue_RNA,pvalue_Ribo,padj_RNA,padj_Ribo,log2FoldChangeTE_DESeq2
ENSG00000000419,DPM1,8813,819.4199251005944,526.7242268319084,0.01979180165056681,-1.8438586001061493e-4,0.11200638613732779,0.10062052578211174,0.8597421247235569,0.9985378873003129,0.9749448669569373,0.9989725027398172,-0.019976187510577424
ENSG00000000457,SCYL3,57147,182.8677825049007,31.26615601308511,-0.14665695906128975,0.41958321177763025,0.1791647737438829,0.2811676720671837,0.41303800020508874,0.13562359713390904,NA,NA,0.56624017083892
ENSG00000000460,C1orf112,55732,515.1679469415596,148.3936597638942,-0.19235401563334978,-0.35278317319328306,0.1268393109201627,0.1465169989142219,0.12938858666224468,0.01604910736435085,0.6043549176226107,0.17277527762614697,-0.16042915755993328
ENSG00000000938,FGR,2268,131.4599523623398,29.92739240340736,-0.1230379125228215,-0.12727419004798823,0.33164426920624257,0.2884732221132423,0.710642273480413,0.6590687039240812,NA,NA,-0.00423627752516674
ENSG00000001036,FUCA2,2519,226.2057910623803,62.31011364945656,0.1506652609337457,-0.20266239635758596,0.18374255388763197,0.20433570213427857,0.41222737966017753,0.3212897323965932,NA,0.6698058224307544,-0.35332765729133164
ENSG00000001084,GCLC,2729,522.7152044936922,120.9252264704731,0.07144815076218769,0.2136836764364224,0.09836874831628596,0.1603824095713142,0.46763663078318396,0.18274894557846316,0.8480687435496511,0.5381572768695351,0.1422355256742347
ENSG00000001167,NFYA,4800,209.2104988013525,91.77039553385522,-0.01271311418614967,-0.09181294151392815,0.16353676448128251,0.19086072518407224,0.9380360126346448,0.6304832356799096,NA,0.8695724377447502,-0.07909982732777848
ENSG00000001461,NIPAL3,57185,267.8023732065572,74.8966021552779,0.22335848137695827,0.09766222606317433,0.1493357634233914,0.18955093187886923,0.1347371226415682,0.6063926783468031,NA,0.8571207143143348,-0.12569625531378392
ENSG00000001497,LAS1L,81887,1328.320766056398,794.9597967110144,-0.21385506727818104,-0.1233819652838786,0.1030490986818992,0.08091196037739945,0.03796119079313562,0.12728614796903492,0.4435658487374777,0.47312644512477725,0.09047310199430245
ENSG00000001561,ENPP4,22875,225.0723427995286,95.99372490989172,0.36394832175743863,0.4171027357909462,0.19038614132553555,0.16720157658307513,0.055923356832362596,0.012609561327409508,NA,0.15431085391952934,0.05315441403350757
ENSG00000001629,ANKIB1,54467,482.7839724487495,31.14719023182223,0.2169180602764828,0.42879197059142504,0.11230213051475833,0.2931888200194714,0.05341410419173281,0.1436011423545999,0.48333694841136543,NA,0.21187391031494224
ENSG00000001630,CYP51A1,1595,1022.9786129311299,424.7692250926963,0.008968540259076079,0.1390536808205869,0.20756129618949104,0.1027058119879733,0.9655348378416861,0.17576740753442324,0.9957910536904895,0.5323842309275741,0.1300851405615108
ENSG00000001631,KRIT1,889,511.77610141195186,64.92455688630339,0.15795174891735725,0.5619017816270622,0.11625974855274702,0.2025574573174428,0.1742699539762402,0.005536546457626118,0.6492185723004118,0.0983526950127677,0.4039500327097049
ENSG00000002330,BAD,572,284.0259301410008,131.08773763382436,-0.006217681065182585,-0.010762294290708477,0.15604801205205593,0.15651621343827024,0.9682169654268784,0.9451794402661721,NA,0.985370556700965,-0.004544613225525892
ENSG00000002549,LAP3,51056,969.5436460788668,473.15513368439923,-0.12479942556886855,0.014849437112322535,0.10410595083686917,0.08719825015746865,0.23061613958955804,0.8647780431306054,0.6884279854376253,0.9635591535979465,0.1396488626811911
ENSG00000002822,MAD1L1,8379,344.9941613125642,171.9149425783075,-0.15659877160165023,-0.17468343959060503,0.13526647940527708,0.13535404784160243,0.2469841649902021,0.19685393657999498,NA,0.5549176740306027,-0.018084667988954806
ENSG00000002834,LASP1,3927,565.3297204827531,624.8791644547575,-0.12126344182399003,-0.06696612409982008,0.12174675227827941,0.08837503851320443,0.3192354726959947,0.44860107568489455,0.7708891862890391,0.7625029215720971,0.054297317724169944
ENSG00000002919,SNX11,29916,313.8784889794773,117.99461276943516,0.12530412015948103,0.08948735007273169,0.22007589027436814,0.1662277366882848,0.5691065805115412,0.590341052397678,NA,0.8471139695560185,-0.03581677008674934
ENSG00000003056,M6PR,4074,838.2145679917368,585.6205913143647,0.16505679049871422,-0.02492524284228215,0.10440310327302874,0.10250526984250173,0.1138879278452683,0.8078809881647309,0.5769207546020709,0.9432066818983862,-0.18998203334099636
ENSG00000003393,ALS2,57679,288.58938962874674,56.46349787188244,0.014892445851852891,0.23241200952464375,0.1481536760275287,0.19821353020388713,0.9199313001213354,0.24098291994743115,NA,0.60009253111922,0.21751956367279085
ENSG00000003402,CFLAR,8837,620.614805170384,229.99572904927533,-0.1570211883924776,-0.2963376478433368,0.10193796771734934,0.12239390213510801,0.12347257707141587,0.015470221866155402,0.593325983300936,0.1693895216221201,-0.13931645945085921
ENSG00000003509,NDUFAF7,55471,278.2477192674987,128.75138984116128,0.027940685296695855,0.4803156963077165,0.1418953027861735,0.1550732459857636,0.843897520056447,0.0019526097928692454,NA,0.055481953506142406,0.4523750110110206
ENSG00000003756,RBM5,10181,783.9632604401145,271.22301983421573,-0.20645395870217115,0.021012439442024303,0.0961733035231679,0.11224894440579765,0.031818226400945435,0.8515077568857934,0.4251501028430081,0.9589190213516463,0.22746639814419545
ENSG00000004059,ARF5,381,726.6712380470374,441.65867698801475,0.14320738156300805,0.09573890282044445,0.09230524438071706,0.09782423648730762,0.1207928166780168,0.32773670721766873,0.5875002269917636,0.6746521360873086,-0.0474684787425636
ENSG00000004139,SARM1,23098,190.3772573575041,52.88881967990384,0.3573101928854284,0.2320398117333929,0.1607162174817982,0.20538101120736812,0.026199843384494523,0.25855979968663184,NA,0.6180929699652952,-0.12527038115203554
ENSG00000004142,POLDIP2,26073,2403.045655784513,568.6826728090731,-0.028907023744814603,-0.029224285727235736,0.07780900261223053,0.08533096135598987,0.7102557836828911,0.7319884750985852,0.9381846438838444,0.9100912631522702,-3.1726198242113327e-4
