ensembl_gene_id,external_gene_name,entrezgene_id,SLX.13199.A005,SLX.14296.A001,SLX.12465.A010,SLX.13199.A008,SLX.13199.A006,SLX.14296.A002,SLX.12465.A011,SLX.13199.A009,SLX.13199.A007,SLX.14296.A003,SLX.12465.A012,SLX.13199.A010
ENSG00000175463,TBC1D10C,374403,9.058334235638116,8.648031734303434,8.426110601255827,8.629284187466336,8.865167576802914,8.717512702673579,8.505313318401328,8.782890967048935,8.857081517940777,8.775665680660342,8.851548601296935,8.45396962867396
ENSG00000175467,SART1,9092,10.604450101060579,10.58201442443747,10.268240132610611,10.369497794306055,10.390101490689785,10.630851560833033,10.644817029368955,10.272497030316298,10.398624282109445,10.453067907457498,10.44609240468489,10.341380018449314
ENSG00000175470,PPP2R2D,55844,8.767108028095254,9.031607368722263,8.513742620964017,8.664405707892941,8.579567896873947,9.224949054279817,8.91147800177968,8.796285046653638,8.535679452294612,9.202193769306785,8.696043182121176,8.701633892415577
ENSG00000175471,MCTP1,79772,9.061650034460941,8.883298443313238,8.488069808261441,8.970218906389217,9.052085783939615,8.904771356520794,8.407582652682787,9.094263659674372,9.111258215512395,8.788131607426141,8.363647129161158,8.815507159449032
ENSG00000175482,POLD4,57804,10.15609561959837,10.184325755670418,9.915662918317759,9.882153482543027,10.135673813198872,9.824437065363076,9.691687600099606,9.680139135835296,9.875841882355605,9.807904479699475,10.245134143807089,9.816395878761927
ENSG00000175550,DRAP1,10589,9.811746919868702,9.67898296218614,9.172638065846149,9.669352195292975,9.77225048888724,9.759666674134966,9.409729934322952,9.764460083258994,9.649154711493399,9.759431491825618,9.643176461045092,9.695468474897178
ENSG00000175556,LONRF3,79836,7.86332349095425,7.841295767034432,7.883259069260859,8.15366251666931,7.9124587744155495,8.170184890085212,8.21614227898835,8.073491498636884,8.019225248425158,7.8694548578798065,8.245241461537265,7.973756115181064
ENSG00000175567,UCP2,7351,12.487743067530921,12.54371003903906,12.396711304946495,12.7044121269923,12.552776441289122,12.351488049886823,12.326854753883906,12.635229025405899,12.668499073265405,12.403702625518042,12.485848957374007,12.41498169686751
ENSG00000175573,C11orf68,83638,8.16094972632076,8.11680485468722,7.9250306320478145,8.308033085203691,8.049148429035728,8.115126657079937,8.161769445605836,8.220454598274237,8.031391848244414,8.3277518923393,8.169950230987872,8.143284937530732
ENSG00000175575,PAAF1,80227,9.071549743385027,8.987168026147824,8.88451065587223,9.159922828731455,9.093159707449852,8.92860599992758,8.985765072672192,9.035918818454173,8.940211811944717,8.883916906401657,8.896683491416283,9.034817002341365
ENSG00000175581,MRPL48,51642,9.69250131837219,9.54946541594376,9.491847864843523,9.76773613647543,9.837190157831056,9.801642915561485,9.428960069827399,9.730878968604191,9.68983729050725,9.747049680321886,9.57678269027177,9.620552189561717
ENSG00000175582,RAB6A,5870,8.83526748584446,8.770812004930844,8.74971528116733,8.860426062699322,8.669476491967554,8.59113475946724,8.476761903095278,8.709106538355666,8.723690518510036,8.634924483403934,8.49617147079156,8.824213610328636
ENSG00000175595,ERCC4,2072,8.426696452979717,8.1540236605457,8.256636665610996,8.252910610206463,8.17556957881481,7.932857423555039,8.124129388446674,8.320213000600074,8.272003158254103,8.030047080061344,8.114350721785904,8.231909393021189
ENSG00000175602,CCDC85B,11007,9.979742296157466,9.474282688802756,9.29926781962059,9.608764430018786,9.914397637688875,9.880957421090166,9.681747365585654,9.814453514612051,9.636536899302504,9.82370079368596,9.64576833128803,9.774304220536063
ENSG00000175606,TMEM70,54968,9.998562601570606,9.869819990749628,9.805763915549562,10.015708031675016,9.924026770458232,9.931125944226597,9.918227070683146,10.017131509531794,9.970487273475584,9.979748613457419,9.894478614967314,10.065471674081934
ENSG00000175634,RPS6KB2,6199,10.745290563607691,10.810939286063315,10.383192319863086,10.637584603612352,10.591430621915514,10.664524915296317,10.236234503515199,10.704949196108831,10.597274105920174,10.64214737211984,10.560945833547958,10.602944603375366
ENSG00000175643,RMI2,116028,8.64218142948022,8.521862573274094,8.054268900448804,8.524954961597174,8.518979595091638,8.493665929107308,8.471941628930452,8.081279253052541,8.320710232330999,8.36826287260922,8.30235189160244,8.493544741677661
ENSG00000175727,MLXIP,22877,8.854676225154162,9.006390188086712,9.275330626437183,8.863145975960991,9.071797733291225,9.120677316988354,9.573997023306294,9.097829398515875,9.043714237811592,9.016010637761964,9.333988394214636,8.88363775478844
ENSG00000175756,AURKAIP1,54998,11.249662590296614,11.225869592722617,10.922697417337908,11.024691173138113,10.999969325945179,11.04416874363647,10.806058400570222,10.85488093007663,11.064283196751662,11.06739896509669,10.99807970478867,10.891836442697121
