ensembl_gene_id,external_gene_name,entrezgene_id,SLX.12469.A001,SLX.12469.A004,SLX.12469.A002,SLX.12469.A005,SLX.12469.A003,SLX.12469.A006
ENSG00000000419,DPM1,8813,8.687578509473443,8.941278489511845,8.617505232753611,8.851358984972208,8.457150990515608,8.766812784829506
ENSG00000000457,SCYL3,57147,6.233101954459597,6.269243302075072,6.4153716361340045,6.049206264191018,6.199602901145924,6.201575329055571
ENSG00000000460,C1orf112,55732,7.484310302930051,7.37646400037516,8.05214287991522,7.3972459633709535,7.63690383083913,7.3495036946799654
ENSG00000000938,FGR,2268,6.780702170028677,6.865645695344263,6.506374683024653,6.949762565482819,6.289520834433858,6.829827005098633
ENSG00000001084,GCLC,2729,7.022755922466186,7.350227098338402,7.219305767146368,7.503454637088325,7.4101178838245945,7.204113740752283
ENSG00000001167,NFYA,4800,7.828527690008018,7.765903809602832,7.426785434769505,7.480555922772388,7.18021302829224,7.561774068783461
ENSG00000001461,NIPAL3,57185,6.144266710005225,6.226240713160992,6.4153716361340045,6.297790954064279,6.199602901145924,6.368424428228839
ENSG00000001497,LAS1L,81887,9.697116507819585,9.814561116993039,9.607665352376404,9.751672127272808,9.649530341763503,9.789590884775201
ENSG00000001561,ENPP4,22875,6.793961795172169,6.800209440310521,7.032256896172382,7.080469246221,6.969166696717877,6.766231211419802
ENSG00000001629,ANKIB1,54467,6.334682985609109,6.7024662980609815,6.630926598070375,6.745150599412389,6.545671403300189,6.568554164129018
ENSG00000001630,CYP51A1,1595,7.660226256140195,8.106067458574561,7.426785434769505,8.061390303622336,7.769720199572472,7.853983312787825
ENSG00000001631,KRIT1,889,6.639697153937485,6.642939888632816,6.669740367130521,6.923719666473791,6.794178128892682,6.766231211419802
ENSG00000002016,RAD52,5893,6.578410492557495,6.085532718871817,6.207848303304657,5.929389499073168,6.634242274417253,6.212136631906829
ENSG00000002330,BAD,572,7.118489631367182,7.5923220081826734,7.219305767146368,7.409463711009158,6.260375343120666,7.345320762677124
ENSG00000002549,LAP3,51056,9.974464421578755,9.909105951820381,9.867140092315257,9.625032992213292,9.951599875744291,9.884143760100528
ENSG00000002822,MAD1L1,8379,8.139016911009398,8.283871478200245,7.996560588455989,8.181601209975629,8.098763668969404,8.365534119143984
ENSG00000002834,LASP1,3927,9.680577411891358,10.209550951053117,9.478184347393922,9.730536027241747,9.549405334134516,9.86374081287291
ENSG00000002919,SNX11,29916,6.334682985609109,6.47986320878956,6.630926598070375,6.2829188930363635,6.449957714031127,6.34076163434174
ENSG00000003056,M6PR,4074,8.555361192828894,9.433174727221424,8.883787064020517,9.12824530941102,8.869300488348811,9.02113953913191
ENSG00000003096,KLHL13,90293,6.562588387661063,6.642939888632816,6.263529943091884,6.449494771847102,6.634242274417253,6.439045211435294
ENSG00000003509,NDUFAF7,55471,7.30040543220199,7.452265932620109,7.268249582645703,7.3972459633709535,7.18021302829224,7.285357983381655
ENSG00000003756,RBM5,10181,8.640279936275272,7.926048152179879,8.860825928180432,8.09891102819805,8.584629886721716,8.129243091178415
ENSG00000004059,ARF5,381,9.238042381808674,9.457234975715048,9.437468510642832,9.479135308446692,9.257213567422568,9.44003574279036
ENSG00000004139,SARM1,23098,6.167193915270777,6.181428301347655,6.316484384017129,6.121566304135916,6.066254539765217,6.481074915360951
ENSG00000004142,POLDIP2,26073,9.262722268529437,9.205825982417881,8.7733354664622,9.291284142344024,9.175516874357616,9.267421807419952
ENSG00000004399,PLXND1,23129,6.189625394763705,6.514318229421244,6.847414535876166,6.237040011433169,6.545671403300189,6.430452731133396
ENSG00000004455,AK2,204,9.392382997595492,9.486754912680887,9.421897800124404,9.431878167388515,9.64468617186624,9.322140299870929
ENSG00000004468,CD38,952,11.294039710633703,11.071795939365217,11.541206761402181,11.070905593507161,11.487602077246303,11.045417766082855
ENSG00000004478,FKBP4,2288,10.204619659153584,10.308643556622172,10.009245785661898,10.054373680322241,10.016755313758448,10.17250576940124
ENSG00000004487,KDM1A,23028,9.612451924662238,9.3817173070367,9.579882255704351,9.551925746086471,9.424924618723198,9.617017223403975
ENSG00000004534,RBM6,10180,8.313548674590063,8.274810599946496,8.513160104588199,8.198954562463742,8.490106075135614,8.464768422459825
ENSG00000004700,RECQL,5965,8.099358871928038,7.854407681645684,8.532708874307618,8.049936500066984,8.423414637122475,7.891137787705393
ENSG00000004766,VPS50,55610,6.609442422939789,6.2479570284329355,6.91202181113497,6.462334008728909,6.5907722415376355,6.350058736192309
ENSG00000004777,ARHGAP33,115703,5.8797214769647015,5.596724467136342,6.086719952007749,5.99119745182651,5.911902242066368,6.053428076553967
ENSG00000004779,NDUFAB1,4706,11.0738807849979,10.753938656059622,10.580381611987171,10.522146402828751,10.759896272858521,10.47426233930371
ENSG00000004864,SLC25A13,10165,7.567736490006276,7.332449149862126,7.361100154300878,7.669064532743571,7.3500833550330364,7.446211768379126
ENSG00000004866,ST7,7982,6.4454787921255985,6.426189763933857,6.847414535876166,6.410095910325052,6.289520834433858,6.481074915360951
ENSG00000004866,ST7,93655,6.4454787921255985,6.426189763933857,6.847414535876166,6.410095910325052,6.289520834433858,6.481074915360951
ENSG00000004897,CDC27,996,8.134120153641074,7.829688350600257,7.87832869845094,7.839414664608048,8.310972612655963,8.007455972486754
ENSG00000004961,HCCS,3052,7.58237551015778,7.810857413031968,7.426785434769505,7.929956665349792,7.796601771151582,7.76427154157005
