Analysis,UPR_coreEnrichment
BL_biopsies,EXOSC5/EXOSC1/DNAJC3/DCTN1/SRPRB/NHP2/ZBTB17/CXXC1/HSP90B1/ARFGAP1/PREB/RRP9/EXOSC4/H2AFX/CALR/VEGFA/DDIT4/YIF1A/CKS1B/ATP6V0D1/IMP3/HYOU1/BANF1/ERN1/EIF4EBP1/XBP1
U2932_clones,EXOSC5/EXOSC1/DNAJC3/DCTN1/SRPRB/NHP2/ZBTB17/CXXC1/HSP90B1/ARFGAP1/PREB/RRP9/EXOSC4/H2AFX/CALR/VEGFA/DDIT4/YIF1A/CKS1B/ATP6V0D1/IMP3/HYOU1/BANF1/ERN1/EIF4EBP1/XBP1
DDX3sh_U2932,SSR1/SHC1/IMP3/IARS/DDX10/EXOSC10/DCP2/EIF4A3/MTREX/SPCS3/PARN/EIF4EBP1/ATF6/XPOT/TTC37/YWHAZ/DCP1A/ASNS/ATF4/CEBPB/TARS/XBP1/PSAT1
MYC_GCBcells,ERN1/EIF4EBP1/STC2/SLC7A5/ASNS/EXOSC5/NOLC1/XPOT/VEGFA/DDX10/PSAT1/EXOSC2/RRP9/EXOSC4/NOP14/IMP3/NHP2/CEBPB/SDAD1/NPM1/DKC1/PDIA5/SRPRB/IARS/ERO1A/ALDH18A1/NOP56/HSPA9/CHAC1/DDIT4/MTREX/MTHFD2/TARS/TTC37/LSM4/EIF2S1/EIF4A3/DNAJA4/EIF4A1
