ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id
ENSG00000197921,10.78229513,-0.1829248,0.693547144,-0.26375251,0.79197063,0.882111815,HES5,388585
ENSG00000157873,1660.929928,-0.048521498,0.069596754,-0.697180468,0.485689861,0.65679444,TNFRSF14,8764
ENSG00000157870,851.0708932,-0.091909225,0.084321818,-1.089981549,0.275721272,0.44603742,PRXL2B,127281
ENSG00000142606,144.7133144,-0.042887989,0.192924809,-0.222304168,0.824077108,0.900512732,MMEL1,79258
ENSG00000215912,11.72004161,-1.006932678,0.69705905,-1.444544301,0.148585927,0.279726375,TTC34,100287898
ENSG00000162591,6.610174014,1.23086653,0.956556324,1.286768483,0.198174995,0.348220347,MEGF6,1953
ENSG00000158109,817.2706294,-0.225755977,0.094583349,-2.38684693,0.016993565,0.047157143,TPRG1L,127262
ENSG00000116213,762.9384604,0.34561742,0.109562076,3.154535151,0.00160754,0.005889331,WRAP73,49856
ENSG00000078900,336.0434741,-0.435517742,0.124111902,-3.509073152,4.50E-04,0.00186045,TP73,7161
ENSG00000162592,47.50855876,-0.179002009,0.3298394,-0.542694441,0.587340202,0.740198971,CCDC27,148870
ENSG00000235169,24.98041861,0.05063324,0.436163256,0.116087818,0.907582944,0.949749931,SMIM1,388588
ENSG00000130764,1552.090281,0.451665639,0.074378235,6.072551154,1.26E-09,1.20E-08,LRRC47,57470
ENSG00000116198,1097.433098,0.121881631,0.077720084,1.568212817,0.116831474,0.232264115,CEP104,9731
ENSG00000169598,331.1556753,0.752365364,0.131491481,5.721780307,1.05E-08,9.02E-08,DFFB,1677
ENSG00000198912,521.5996153,0.130444363,0.108282065,1.204671922,0.22832998,0.386826682,C1orf174,339448
ENSG00000131697,289.1215625,0.136072704,0.169501053,0.802783826,0.422099692,0.598512467,NPHP4,261734
ENSG00000069424,8555.013288,0.101543824,0.049141359,2.066361731,0.038794337,0.095134277,KCNAB2,8514
ENSG00000116254,5.074535189,0.71704761,0.97832342,0.732935137,0.463597991,0.63656009,CHD5,26038
ENSG00000116251,4548.128751,0.462565701,0.058412163,7.918996269,2.39E-15,4.14E-14,RPL22,6146
ENSG00000158286,155.3009025,0.51868367,0.207942506,2.494360964,0.012618415,0.036362102,RNF207,388591
ENSG00000116237,3106.972656,-0.148073649,0.054184577,-2.732763774,0.006280536,0.01972376,ICMT,23463
ENSG00000158292,33.99293176,-1.748677717,0.420344842,-4.160102712,3.18E-05,1.63E-04,GPR153,387509
ENSG00000097021,2256.45736,0.130206368,0.070254833,1.85334392,0.06383308,0.14342098,ACOT7,11332
ENSG00000069812,5.191651577,1.037791898,1.054024231,0.984599659,0.324820757,0.499603488,HES2,54626
ENSG00000171680,71.77166004,0.611216023,0.279399273,2.187607774,0.028698185,0.073383637,PLEKHG5,57449
ENSG00000162408,826.0999331,0.204514932,0.095133441,2.149769095,0.031573484,0.079571358,NOL9,79707
ENSG00000173662,19.15361695,0.167087806,0.507138953,0.329471451,0.74179937,0.850012015,TAS1R1,80835
ENSG00000204859,553.5147857,0.343076493,0.100991525,3.397082028,6.81E-04,0.002697356,ZBTB48,3104
ENSG00000162413,1493.554949,0.70179065,0.075100828,9.344646017,9.22E-21,2.55E-19,KLHL21,9903
