ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,157,0.353911954023449,1.5195768571087662,0.008982035928143712,0.023636936653009772,0.011942873256257567,1293,"tags=23%, list=12%, signal=20%",JAG2/APP/STOM/COQ8A/F2R/GLS2/CTSF/TM7SF3/MAPKAPK3/SLC3A2/CDKN1A/CCND2/HBEGF/TRIAP1/RGS16/ABCC5/PHLDA3/RPS27L/EI24/EPS8L2/FAM162A/PLK3/TRIB3/RCHY1/MDM2/SLC19A2/AEN/DCXR/CDKN2A/SESN1/TNFSF9/FDXR/NUDT15/ST14/SLC7A11/HSPA4L
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,111,0.38749057927744557,1.5828437485080875,0.009538950715421303,0.023847376788553257,0.012049200903690067,974,"tags=19%, list=9%, signal=17%",MYC/PODXL/WWC1/RRP12/STC2/ABCA3/RPS6KA2/ADCY9/SLC7A5/SLC27A2/BCL2/RHOBTB3/MYBBP1A/ASB13/FKBP4/AKAP1/BLVRB/SLC16A1/SLC19A2/SCARB1/AQP3
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,15,0.6293906425587728,1.69184417018166,0.012987012987012988,0.029515938606847703,0.014913316348723048,707,"tags=40%, list=7%, signal=37%",JAG2/APP/CCND2/TNFRSF21/VEGFA/LRPAP1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,87,-0.36068227738363623,-1.5011198438192885,0.012987012987012988,0.029515938606847703,0.014913316348723048,2973,"tags=45%, list=28%, signal=33%",HSP90B1/RIT1/SQSTM1/TRAF2/CAMK4/GRB2/PIN1/GRK2/IL2RG/E2F1/MAPK8/PAK4/CFL1/AKT1/CXCR4/ACTR2/CAB39/CLTC/PPP1CA/PIK3R3/GSK3B/DAPP1/ARPC3/ACTR3/PLCG1/CALR/CDK2/MAPK1/PRKAG1/LCK/PFN1/CDKN1B/MYD88/RIPK1/STAT2/RALB/PIKFYVE/MAP2K6
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,153,0.333808462473816,1.4316691439266396,0.01804511278195489,0.03922850604772802,0.019820718845167843,2797,"tags=35%, list=26%, signal=26%",STOM/QDPR/SLC19A1/PEMT/COQ3/PTCD3/PQLC3/SLC25A10/SLC1A5/GRPEL1/CD302/GPHN/ATP1B3/CHCHD10/SCARB1/SSPN/SLC5A6/TKT/HIBCH/SOD1/CYC1/BCKDHA/GBE1/CD151/DDT/EPHX2/BCL6/AK2/MDH2/ATL2/COQ9/SDHB/PGM1/ESRRA/MCCC1/DHCR7/IDH3A/NDUFAB1/SAMM50/JAGN1/LPCAT3/UQCR10/DBT/HADH/LIPE/RMDN3/IFNGR1/MTCH2/ARL4A/UQCR11/NABP1/MRPL15/RETSAT/DLAT
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,137,0.3387398145415538,1.4351401181808356,0.024427480916030534,0.050890585241730284,0.025713137806347933,1846,"tags=28%, list=17%, signal=23%",MXI1/GAA/ADM/STC2/VLDLR/AK4/SLC6A6/HK2/CDKN1A/BCL2/PDK1/VEGFA/ANKZF1/LXN/PRKCA/PPFIA4/CAV1/FAM162A/PAM/SLC2A5/FOSL2/SCARB1/RRAGD/GALK1/P4HA1/COL5A1/NOCT/CITED2/SLC37A4/GBE1/ERO1A/GPI/DDIT4/PFKP/LDHA/MIF/PHKG1/HEXA
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,92,-0.33406136728882757,-1.3982898585199077,0.026737967914438502,0.053475935828877004,0.0270194202082747,1799,"tags=30%, list=17%, signal=26%",ANKH/USP12/RABGAP1L/ETV4/CXCR4/MMD/GPRC5B/DOCK2/IRF8/CBL/PRDM1/PPP1R15A/CCSER2/TNFAIP3/IL10RA/SNAP25/ADAMDEC1/LCP1/TMEM100/KCNN4/ID2/ETV5/LAT2/GADD45G/CXCL10/TRAF1/PLAUR
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,113,0.33334231206115844,1.3645313216668284,0.04574132492113565,0.08796408638679933,0.04444501206911966,1498,"tags=24%, list=14%, signal=21%",SORD/PRKAR2B/ABCA3/HOMER2/RPS6KA2/SLC7A5/SLC27A2/BCL2/ALDH3A2/ASS1/FKBP4/SLC29A1/GPER1/BLVRB/CAV1/SLC16A1/SCARB1/DCXR/MAPK13/BAG1/ST14/CHPT1/MOCS2/HSPA4L/CKB/RBBP8/HPRT1
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,193,-0.2532622053908816,-1.1990247300471837,0.06567164179104477,0.12161415146489774,0.06144715021384306,3159,"tags=41%, list=30%, signal=29%",RACGAP1/RPA2/CCNA2/BRCA2/TOP1/NUP50/TROAP/CTCF/CENPA/SQLE/DMD/E2F3/RAD54L/MAP3K20/UBE2C/SLC12A2/POLA2/AURKA/POLE/SMC2/NOTCH2/MCM5/PLK1/MTF2/SMC4/HMMR/AURKB/UBE2S/KIF15/BARD1/PDS5B/E2F1/CDC27/ATRX/CENPE/TMPO/CENPF/STMN1/CCNB2/FOXN3/H2AFZ/ESPL1/PRC1/PLK4/LMNB1/PAFAH1B1/KIF5B/NUSAP1/CASP8AP2/ARID4A/FBXO5/INCENP/TRA2B/KPNA2/E2F2/CDC20/CDKN2C/STAG1/TLE3/H2AFV/SRSF2/KIF4A/STIL/ORC6/EZH2/CBX1/MKI67/KIF11/KIF23/CCNF/HMGN2/CDKN1B/SMAD3/CHMP1A/BCL3/SS18/HMGB3/H2AFX
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,58,-0.3512822501117622,-1.349340488868326,0.07142857142857142,0.12755102040816327,0.0644468313641246,2589,"tags=41%, list=24%, signal=32%",ACAT2/PNRC1/LGALS3/HSD17B7/S100A11/SC5D/TM7SF2/FDFT1/IDI1/PDK3/CTNNB1/ACTG1/ANXA5/FAM129A/LDLR/MVK/HMGCS1/HMGCR/FADS2/STX5/MVD/CPEB2/PLAUR
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,28,0.43394264956145046,1.364422767979851,0.08196721311475409,0.14132278123233463,0.07140519472791645,325,"tags=14%, list=3%, signal=14%",MYC/JAG2/CCND2/KAT2A
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,81,0.32636690749418446,1.2700421696181055,0.10430463576158941,0.17337396238310393,0.08759947573041041,1699,"tags=21%, list=16%, signal=18%",STS/ECI2/SLC27A2/ABCC5/SOD2/SOD2/PEX5/CLN8/ESR2/CNBP/TSPO/SOD1/SLC25A17/FIS1/EPHX2/ITGB1BP1/ATXN1
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,88,0.3196319969246971,1.2568332317860054,0.10749185667752444,0.17337396238310393,0.08759947573041041,1440,"tags=24%, list=13%, signal=21%",APP/GAA/CFD/PTP4A3/TEAD4/STC2/PFKM/ADCY9/CDKN1A/PC/HBEGF/PPFIA4/AGRN/CAMK2B/SSPN/BAG1/MAPK12/CKB/COL6A3/ATP2A1/IFRD1
