Type	Length	cDNA #	cDNA %	reads #	reads %
CDS	35673230	271548	29.498291791364995	14775529	34.44071998130781
UTR3	37725285	252626	27.4427926631217	14154640	32.99347134550775
UTR5	9020040	60378	6.558869377712357	2989072	6.96731682202158
ncRNA	52416922	36079	3.919266094910136	1780052	4.1491761468687125
intron	1576333378	123104	13.372802276887311	4564920	10.640507792111649
intergenic	4488330785	176820	19.207977796003497	4637123	10.808807912182504
