Type	Length	cDNA #	cDNA %	reads #	reads %
CDS	35673230	274535	24.679366454903647	5949453	25.19581809216749
UTR3	37725285	248985	22.38254523748952	5735536	24.289883745123788
UTR5	9020040	70641	6.350283664162487	1377205	5.8324364703147555
ncRNA	52416922	69936	6.286907579689808	1660927	7.0339936388050255
intron	1576333378	268945	24.17685253688623	5653035	23.940493609858926
intergenic	4488330785	179365	16.124044526868314	3236703	13.707374443730005
