Type	Length	cDNA #	cDNA %	reads #	reads %
CDS	35673230	168970	25.385660114300823	14266041	28.508075919429764
UTR3	37725285	133740	20.092786788699726	11954924	23.88973093537394
UTR5	9020040	43561	6.544503404385738	3110031	6.214828617118098
ncRNA	52416922	38872	5.84003894160562	3285640	6.565751112303351
intron	1576333378	134912	20.26886534497575	11691389	23.363104397049327
intergenic	4488330785	145557	21.868145406032344	5734079	11.458509018725511
