Id,entrezgene_id,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,U2932_HL_Ratio,U2932_Intensity,U2932Signif
SRSF1,6426,4.6957,31823000,FALSE,1.1219,219600000,FALSE
EIF4A3,9775,4.628,168040000,FALSE,4.264,602560000,TRUE
HNRNPM,4670,4.6092,2017500000,FALSE,1.7826,2542700000,FALSE
RPS27,6232,4.5937,62826000,FALSE,1.006,799010000,FALSE
CCT7,10574,4.5916,207650000,FALSE,1.1042,963430000,FALSE
PPP2R2A,5520,4.5658,45018000,FALSE,NA,NA,NA
MRPS22,56945,4.5655,42839000,FALSE,1.4039,54153000,FALSE
SNRPD2,6633,4.5448,10660000,FALSE,1.0385,349690000,FALSE
DDX5,1655,4.5259,454120000,FALSE,3.2508,918860000,FALSE
NCL,4691,4.5252,213540000,FALSE,0.89134,654080000,FALSE
CCT5,22948,4.4117,343400000,FALSE,1.1499,1417400000,FALSE
RPLP0,6175,4.4013,1213700000,FALSE,1.5608,8007700000,FALSE
CHERP,10523,4.3849,23250000,FALSE,2.4555,184910000,FALSE
IGF2BP3,10643,4.3775,39457000,FALSE,1.6803,441290000,FALSE
CCT3,7203,4.3339,235800000,FALSE,1.086,1027700000,FALSE
SF1,7536,4.2812,16867000,FALSE,1.441,92085000,FALSE
EDC4,23644,4.2771,21079000,FALSE,1.871,69042000,FALSE
RPL12,6136,4.2769,911390000,FALSE,1.6693,4814700000,FALSE
DHX9,1660,4.2541,77745000,FALSE,1.2875,384090000,FALSE
HNRNPL,3191,4.2448,36047000,FALSE,1.6195,126560000,FALSE
YTHDF2,51441,4.2122,8186700,FALSE,2.952,22116000,FALSE
HMGB2,3148,4.2045,21791000,FALSE,0.77328,84128000,FALSE
RFC4,5984,4.1902,29777000,FALSE,NA,NA,NA
RPL11,6135,4.1251,305210000,FALSE,1.112,571030000,FALSE
BOLA2,552900,4.0618,20295000,FALSE,1.7353,292790000,FALSE
CAPZA2,830,4.0611,11872000,FALSE,1.2072,727630000,FALSE
PELP1,27043,4.0495,8103900,FALSE,NA,NA,NA
RPS7,6201,4.0092,87846000,FALSE,1.3528,230360000,FALSE
MAPK3,5595,3.9642,7224200,FALSE,NA,NA,NA
RPL38,6169,3.9554,70242000,FALSE,1.1146,705840000,FALSE
TCP1,6950,3.8491,489080000,FALSE,1.1849,1779300000,FALSE
RBMX,27316,3.8296,19039000,FALSE,NA,NA,NA
STRAP,11171,3.823,149210000,FALSE,0.95154,96459000,FALSE
MCM5,4174,3.8007,161480000,FALSE,1.2728,1348500000,FALSE
MCM3,4172,3.744,652620000,FALSE,1.4663,1159000000,FALSE
RPS4X,6191,3.7298,55060000,FALSE,1.2263,1448300000,FALSE
SF3B6,51639,3.6906,13365000,FALSE,1.1786,28646000,FALSE
IGSF9B,22997,3.673,33393000,FALSE,NA,NA,NA
PTCD3,55037,3.6727,42800000,FALSE,1.2195,291230000,FALSE
MRPS35,60488,3.6711,16846000,FALSE,NA,NA,NA
NHP2,55651,3.6502,10153000,FALSE,NA,NA,NA
PARP1,142,3.6393,55071000,FALSE,0.8998,371720000,FALSE
RBM14,10432,3.6211,584660000,FALSE,3.0517,2372100000,FALSE
HNRNPF,3185,3.6029,446490000,FALSE,1.8206,900750000,FALSE
HNRNPC,3183,3.5787,172290000,FALSE,0.72808,255350000,FALSE
RPS3A,6189,3.5703,50703000,FALSE,1.1718,779060000,FALSE
RPS13,6207,3.5401,62911000,FALSE,0.70315,235180000,FALSE
ILF3,3609,3.5282,39706000,FALSE,2.3921,799590000,FALSE
RBM4,5936,3.491,7241100,FALSE,NA,NA,NA
ACTR1A,10121,3.4856,59547000,FALSE,NA,NA,NA
EIF2S1,1965,3.4784,26920000,FALSE,0.91128,286550000,FALSE
RPSA,3921,3.4148,116920000,FALSE,0.80938,189890000,FALSE
NME1,4830,3.4036,29035000,FALSE,0.97713,47095000,FALSE
