Sample,SampleALT,Experiment,Batch,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding ,Merged
SLX.12469.A006,SLX-12469.A006,Ribo,1,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.12469,SLX.12465.A006,1
SLX.14296.A006,SLX-14296.A006,RNA,2,Mutu_sh2_48,2,Mutu,sh2,48,sh,SLX.14296,None,1
SLX.13195.A008,SLX-13195.A008,RNA,1,Mutu_shY_24,1,Mutu,shY,24,shY,SLX.13195,None,1
SLX.13199.A002,SLX-13199.A002,RNA,2,Mutu_shY_24,2,Mutu,shY,24,shY,SLX.13199,SLX.13460.A006,1
SLX.13195.A002,SLX-13195.A002,RNA,1,Mutu_shY_48,1,Mutu,shY,48,shY,SLX.13195,None,1
SLX.13199.A004,SLX-13199.A004,RNA,2,Mutu_shY_48,2,Mutu,shY,48,shY,SLX.13199,SLX.13454.A009,1
SLX.12465.A007,SLX-12465.A007,RNA,1,U2932_ctl_24,1,U2932,ctl,24,ctl,SLX.12465,None,1
SLX.13199.A005,SLX-13199.A005,RNA,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.13199,SLX.14241.A001,1
SLX.14241.A001,SLX-14241.A001,Ribo,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.14241,SLX.13199.A005,1
SLX.14293.A001,SLX-14293.A001,Ribo,1,U2932_ctl_24,1,U2932,ctl,24,ctl,SLX.14293,SLX.14296.A001,1
SLX.14296.A001,SLX-14296.A001,RNA,2,U2932_ctl_24,2,U2932,ctl,24,ctl,SLX.14296,SLX.14293.A001,1
SLX.12465.A010,SLX-12465.A010,RNA,1,U2932_ctl_48,1,U2932,ctl,48,ctl,SLX.12465,SLX.12470.A004,1
SLX.12470.A004,SLX-12470.A004,Ribo,1,U2932_ctl_48,1,U2932,ctl,48,ctl,SLX.12470,SLX.12465.A010,1
SLX.13199.A008,SLX-13199.A008,RNA,2,U2932_ctl_48,2,U2932,ctl,48,ctl,SLX.13199,SLX.13454.A001,1
SLX.13454.A001,SLX-13454.A001,Ribo,2,U2932_ctl_48,2,U2932,ctl,48,ctl,SLX.13454,SLX.13199.A008,1
SLX.12465.A008,SLX-12465.A008,RNA,1,U2932_sh1_24,1,U2932,sh1,24,sh,SLX.12465,None,1
SLX.13199.A006,SLX-13199.A006,RNA,2,U2932_sh1_24,2,U2932,sh1,24,sh,SLX.13199,SLX.14241.A002,1
SLX.13458.A001,SLX-13458.A001,Ribo,2,BL41_ctl_24,2,BL41,ctl,24,ctl,SLX.13458,,0
SLX.13458.A002,SLX-13458.A002,Ribo,2,BL41_sh1_24,2,BL41,sh1,24,sh,SLX.13458,,0
SLX.13458.A003,SLX-13458.A003,Ribo,2,BL41_sh2_24,2,BL41,sh2,24,sh,SLX.13458,,0
SLX.13458.A004,SLX-13458.A004,Ribo,2,BL41_DY_24,2,BL41,shY,24,shY,SLX.13458,,0
SLX.13458.A005,SLX-13458.A005,Ribo,2,Mutu_ctl_24,2,Mutu,ctl,24,ctl,SLX.13458,,0
